row_id,columns,error_type,right_value,error_value,missing_value,constraint,tuple_pairs
44,ZipCode,rule_violation,35957,x5957,0,"Constraint Violation: The HospitalName of Row 44 is equal to the HospitalName of Row 54, and The ZipCode of Row 44 is different from the ZipCode of Row 54.","(44, 54)"
45,ProviderNumber,rule_violation,10005,x0005,0,"Constraint Violation: The HospitalName of Row 45 is equal to the HospitalName of Row 48, and The ProviderNumber of Row 45 is different from the ProviderNumber of Row 48.","(45, 48)"
46,State,rule_violation,al,xl,0,"Constraint Violation: The HospitalName of Row 46 is equal to the HospitalName of Row 47, and The PhoneNumber of Row 46 is equal to the PhoneNumber of Row 47, and The HospitalOwner of Row 46 is equal to the HospitalOwner of Row 47, and The State of Row 46 is different from the State of Row 47.","(46, 47)"
50,State,rule_violation,al,xl,0,"Constraint Violation: The HospitalName of Row 50 is equal to the HospitalName of Row 64, and The PhoneNumber of Row 50 is equal to the PhoneNumber of Row 64, and The HospitalOwner of Row 50 is equal to the HospitalOwner of Row 64, and The State of Row 50 is different from the State of Row 64.","(50, 64)"
51,EmergencyService,rule_violation,yes,yxs,0,"Constraint Violation: The ZipCode of Row 46 is equal to the ZipCode of Row 51, and The EmergencyService of Row 46 is different from the EmergencyService of Row 51.","(46, 51)"
56,City,rule_violation,boaz,boxz,0,"Constraint Violation: The HospitalName of Row 56 is equal to the HospitalName of Row 60, and The City of Row 56 is different from the City of Row 60.","(56, 60)"
56,Stateavg,rule_violation,al_pn-3b,al_pn-xb,0,"Constraint Violation: The MeasureCode of Row 56 is equal to the MeasureCode of Row 528, and The Stateavg of Row 56 is different from the Stateavg of Row 528.","(56, 528)"
57,Address1,rule_violation,2505 u s highway 431 north,2505xuxsxhighwayx431xnorth,0,"Constraint Violation: The HospitalName of Row 57 is equal to the HospitalName of Row 58, and The Address1 of Row 57 is different from the Address1 of Row 58.","(57, 58)"
57,PhoneNumber,rule_violation,2565938310,2x6x938310,0,"Constraint Violation: The HospitalName of Row 57 is equal to the HospitalName of Row 64, and The PhoneNumber of Row 57 is different from the PhoneNumber of Row 64.","(57, 64)"
60,PhoneNumber,rule_violation,2565938310,2x6x938310,0,"Constraint Violation: The HospitalName of Row 52 is equal to the HospitalName of Row 60, and The PhoneNumber of Row 52 is different from the PhoneNumber of Row 60.","(52, 60)"
63,ZipCode,rule_violation,35957,3595x,0,"Constraint Violation: The HospitalName of Row 54 is equal to the HospitalName of Row 63, and The ZipCode of Row 54 is different from the ZipCode of Row 63.","(54, 63)"
65,PhoneNumber,rule_violation,2565938310,2565x38310,0,"Constraint Violation: The HospitalName of Row 61 is equal to the HospitalName of Row 65, and The PhoneNumber of Row 61 is different from the PhoneNumber of Row 65.","(61, 65)"
67,CountyName,rule_violation,marshall,mxrshxll,0,"Constraint Violation: The City of Row 64 is equal to the City of Row 67, and The CountyName of Row 64 is different from the CountyName of Row 67.","(64, 67)"
69,Stateavg,rule_violation,al_ami-1,al_amx-1,0,"Constraint Violation: The MeasureCode of Row 69 is equal to the MeasureCode of Row 119, and The Stateavg of Row 69 is different from the Stateavg of Row 119.","(69, 119)"
70,ZipCode,rule_violation,35631,3563x,0,"Constraint Violation: The HospitalName of Row 70 is equal to the HospitalName of Row 85, and The ZipCode of Row 70 is different from the ZipCode of Row 85.","(70, 85)"
72,CountyName,rule_violation,lauderdale,laudxrdalx,0,"Constraint Violation: The City of Row 72 is equal to the City of Row 89, and The CountyName of Row 72 is different from the CountyName of Row 89.","(72, 89)"
73,Condition,rule_violation,heart attack,hearx axxack,0,"Constraint Violation: The MeasureCode of Row 73 is equal to the MeasureCode of Row 595, and The Condition of Row 73 is different from the Condition of Row 595.","(73, 595)"
77,CountyName,rule_violation,lauderdale,laudexdale,0,"Constraint Violation: The City of Row 71 is equal to the City of Row 77, and The CountyName of Row 71 is different from the CountyName of Row 77.","(71, 77)"
79,City,rule_violation,florence,fxorence,0,"Constraint Violation: The HospitalName of Row 72 is equal to the HospitalName of Row 79, and The City of Row 72 is different from the City of Row 79.","(72, 79)"
81,ProviderNumber,rule_violation,10006,1000x,0,"Constraint Violation: The HospitalName of Row 72 is equal to the HospitalName of Row 81, and The ProviderNumber of Row 72 is different from the ProviderNumber of Row 81.","(72, 81)"
83,State,rule_violation,al,xl,0,"Constraint Violation: The HospitalName of Row 77 is equal to the HospitalName of Row 83, and The PhoneNumber of Row 77 is equal to the PhoneNumber of Row 83, and The HospitalOwner of Row 77 is equal to the HospitalOwner of Row 83, and The State of Row 77 is different from the State of Row 83.","(77, 83)"
88,City,rule_violation,florence,florxncx,0,"Constraint Violation: The HospitalName of Row 79 is equal to the HospitalName of Row 88, and The City of Row 79 is different from the City of Row 88.","(79, 88)"
91,Sample,pattern_violation,619 patients,619 paxienxs,0,,
93,City,rule_violation,florence,flxrence,0,"Constraint Violation: The HospitalName of Row 85 is equal to the HospitalName of Row 93, and The City of Row 85 is different from the City of Row 93.","(85, 93)"
93,ZipCode,rule_violation,35631,3563x,0,"Constraint Violation: The HospitalName of Row 88 is equal to the HospitalName of Row 93, and The ZipCode of Row 88 is different from the ZipCode of Row 93.","(88, 93)"
94,Address1,rule_violation,702 n main st,702xnxmainxst,0,"Constraint Violation: The HospitalName of Row 94 is equal to the HospitalName of Row 98, and The Address1 of Row 94 is different from the Address1 of Row 98.","(94, 98)"
94,MeasureName,rule_violation,heart attack patients given aspirin at arrival,xeart attack patients given aspirin at arrival,0,"Constraint Violation: The MeasureCode of Row 94 is equal to the MeasureCode of Row 379, and The MeasureName of Row 94 is different from the MeasureName of Row 379.","(94, 379)"
97,MeasureCode,rule_violation,ami-4,axi-4,0,"Constraint Violation: The MeasureName of Row 97 is equal to the MeasureName of Row 147, and The MeasureCode of Row 97 is different from the MeasureCode of Row 147.","(97, 147)"
98,State,rule_violation,al,xl,0,"Constraint Violation: The HospitalName of Row 95 is equal to the HospitalName of Row 98, and The PhoneNumber of Row 95 is equal to the PhoneNumber of Row 98, and The HospitalOwner of Row 95 is equal to the HospitalOwner of Row 98, and The State of Row 95 is different from the State of Row 98.","(95, 98)"
98,HospitalType,pattern_violation,acute care hospitals,acute care hosxitals,0,,
101,PhoneNumber,rule_violation,3344933541,3344x33541,0,"Constraint Violation: The HospitalName of Row 101 is equal to the HospitalName of Row 118, and The PhoneNumber of Row 101 is different from the PhoneNumber of Row 118.","(101, 118)"
101,MeasureCode,rule_violation,hf-1,hfx1,0,"Constraint Violation: The MeasureName of Row 101 is equal to the MeasureName of Row 361, and The MeasureCode of Row 101 is different from the MeasureCode of Row 361.","(101, 361)"
106,Address1,rule_violation,702 n main st,702 x maix st,0,"Constraint Violation: The HospitalName of Row 106 is equal to the HospitalName of Row 109, and The Address1 of Row 106 is different from the Address1 of Row 109.","(106, 109)"
108,MeasureCode,rule_violation,pn-5c,pnx5c,0,"Constraint Violation: The MeasureName of Row 108 is equal to the MeasureName of Row 944, and The MeasureCode of Row 108 is different from the MeasureCode of Row 944.","(108, 944)"
111,MeasureName,rule_violation,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,0,"Constraint Violation: The MeasureCode of Row 111 is equal to the MeasureCode of Row 844, and The MeasureName of Row 111 is different from the MeasureName of Row 844.","(111, 844)"
113,HospitalOwner,rule_violation,voluntary non-profit - private,volunxary non-profix - privaxe,0,"Constraint Violation: The HospitalName of Row 98 is equal to the HospitalName of Row 113, and The HospitalOwner of Row 98 is different from the HospitalOwner of Row 113.","(98, 113)"
115,Sample,pattern_violation,0 patients,0 patixnts,0,,
119,State,rule_violation,al,ax,0,"Constraint Violation: The HospitalName of Row 119 is equal to the HospitalName of Row 122, and The PhoneNumber of Row 119 is equal to the PhoneNumber of Row 122, and The HospitalOwner of Row 119 is equal to the HospitalOwner of Row 122, and The State of Row 119 is different from the State of Row 122.","(119, 122)"
119,MeasureName,rule_violation,heart attack patients given aspirin at arrival,heart attack patients given aspirin at arrivax,0,"Constraint Violation: The MeasureCode of Row 119 is equal to the MeasureCode of Row 169, and The MeasureName of Row 119 is different from the MeasureName of Row 169.","(119, 169)"
120,MeasureCode,rule_violation,ami-2,axi-2,0,"Constraint Violation: The MeasureName of Row 120 is equal to the MeasureName of Row 981, and The MeasureCode of Row 120 is different from the MeasureCode of Row 981.","(120, 981)"
120,Score,pattern_violation,100%,x00%,0,,
127,Condition,rule_violation,heart failure,heaxt failuxe,0,"Constraint Violation: The MeasureCode of Row 127 is equal to the MeasureCode of Row 474, and The Condition of Row 127 is different from the Condition of Row 474.","(127, 474)"
131,HospitalName,rule_violation,crenshaw community hospital,crenshaw cxmmunity hxspital,0,"Constraint Violation: The ProviderNumber of Row 123 is equal to the ProviderNumber of Row 131, and The HospitalName of Row 123 is different from the HospitalName of Row 131.","(123, 131)"
133,Sample,pattern_violation,21 patients,21 pxtients,0,,
136,CountyName,rule_violation,crenshaw,crxnshaw,0,"Constraint Violation: The City of Row 136 is equal to the City of Row 141, and The CountyName of Row 136 is different from the CountyName of Row 141.","(136, 141)"
137,ZipCode,rule_violation,36049,36x49,0,"Constraint Violation: The HospitalName of Row 124 is equal to the HospitalName of Row 137, and The ZipCode of Row 124 is different from the ZipCode of Row 137.","(124, 137)"
139,ZipCode,rule_violation,36049,360x9,0,"Constraint Violation: The HospitalName of Row 125 is equal to the HospitalName of Row 139, and The ZipCode of Row 125 is different from the ZipCode of Row 139.","(125, 139)"
140,State,rule_violation,al,ax,0,"Constraint Violation: The HospitalName of Row 122 is equal to the HospitalName of Row 140, and The PhoneNumber of Row 122 is equal to the PhoneNumber of Row 140, and The HospitalOwner of Row 122 is equal to the HospitalOwner of Row 140, and The State of Row 122 is different from the State of Row 140.","(122, 140)"
145,MeasureName,rule_violation,heart attack patients given aspirin at discharge,heart attaxk patients given aspirin at disxharge,0,"Constraint Violation: The MeasureCode of Row 145 is equal to the MeasureCode of Row 692, and The MeasureName of Row 145 is different from the MeasureName of Row 692.","(145, 692)"
149,ZipCode,rule_violation,35640,3x640,0,"Constraint Violation: The HospitalName of Row 149 is equal to the HospitalName of Row 163, and The ZipCode of Row 149 is different from the ZipCode of Row 163.","(149, 163)"
157,ZipCode,rule_violation,35640,3x640,0,"Constraint Violation: The HospitalName of Row 145 is equal to the HospitalName of Row 157, and The ZipCode of Row 145 is different from the ZipCode of Row 157.","(145, 157)"
157,HospitalOwner,rule_violation,proprietary,pxopxietaxy,0,"Constraint Violation: The HospitalName of Row 150 is equal to the HospitalName of Row 157, and The HospitalOwner of Row 150 is different from the HospitalOwner of Row 157.","(150, 157)"
157,EmergencyService,rule_violation,yes,yxs,0,"Constraint Violation: The ZipCode of Row 149 is equal to the ZipCode of Row 157, and The EmergencyService of Row 149 is different from the EmergencyService of Row 157.","(149, 157)"
158,Score,pattern_violation,98%,9x%,0,,
159,HospitalOwner,rule_violation,proprietary,proxrietary,0,"Constraint Violation: The HospitalName of Row 148 is equal to the HospitalName of Row 159, and The HospitalOwner of Row 148 is different from the HospitalOwner of Row 159.","(148, 159)"
161,Address1,rule_violation,201 pine street northwest,201 pine sxreex norxhwesx,0,"Constraint Violation: The HospitalName of Row 161 is equal to the HospitalName of Row 168, and The Address1 of Row 161 is different from the Address1 of Row 168.","(161, 168)"
162,HospitalOwner,rule_violation,proprietary,xroprietary,0,"Constraint Violation: The HospitalName of Row 161 is equal to the HospitalName of Row 162, and The HospitalOwner of Row 161 is different from the HospitalOwner of Row 162.","(161, 162)"
163,Score,pattern_violation,57%,x7%,0,,
164,HospitalOwner,rule_violation,proprietary,pxopxietaxy,0,"Constraint Violation: The HospitalName of Row 145 is equal to the HospitalName of Row 164, and The HospitalOwner of Row 145 is different from the HospitalOwner of Row 164.","(145, 164)"
165,State,rule_violation,al,ax,0,"Constraint Violation: The HospitalName of Row 165 is equal to the HospitalName of Row 168, and The PhoneNumber of Row 165 is equal to the PhoneNumber of Row 168, and The HospitalOwner of Row 165 is equal to the HospitalOwner of Row 168, and The State of Row 165 is different from the State of Row 168.","(165, 168)"
166,Sample,pattern_violation,11 patients,xx patients,0,,
170,Sample,pattern_violation,6 patients,6xpatients,0,,
171,HospitalName,rule_violation,marshall medical center north,marshall medical cenxer norxh,0,"Constraint Violation: The ProviderNumber of Row 171 is equal to the ProviderNumber of Row 184, and The HospitalName of Row 171 is different from the HospitalName of Row 184.","(171, 184)"
175,Address1,rule_violation,8000 alabama highway 69,8000 alabama xigxway 69,0,"Constraint Violation: The HospitalName of Row 175 is equal to the HospitalName of Row 176, and The Address1 of Row 175 is different from the Address1 of Row 176.","(175, 176)"
177,MeasureCode,rule_violation,hf-2,hf-x,0,"Constraint Violation: The MeasureName of Row 27 is equal to the MeasureName of Row 177, and The MeasureCode of Row 27 is different from the MeasureCode of Row 177.","(27, 177)"
180,City,rule_violation,guntersville,guntxrsvillx,0,"Constraint Violation: The HospitalName of Row 178 is equal to the HospitalName of Row 180, and The City of Row 178 is different from the City of Row 180.","(178, 180)"
182,State,rule_violation,al,xl,0,"Constraint Violation: The HospitalName of Row 169 is equal to the HospitalName of Row 182, and The PhoneNumber of Row 169 is equal to the PhoneNumber of Row 182, and The HospitalOwner of Row 169 is equal to the HospitalOwner of Row 182, and The State of Row 169 is different from the State of Row 182.","(169, 182)"
187,Score,pattern_violation,95%,95x,0,,
190,MeasureCode,rule_violation,scip-inf-4,scip-inx-4,0,"Constraint Violation: The MeasureName of Row 190 is equal to the MeasureName of Row 687, and The MeasureCode of Row 190 is different from the MeasureCode of Row 687.","(190, 687)"
193,Stateavg,rule_violation,al_scip-vte-2,al_scix-vte-2,0,"Constraint Violation: The MeasureCode of Row 193 is equal to the MeasureCode of Row 901, and The Stateavg of Row 193 is different from the Stateavg of Row 901.","(193, 901)"
196,ZipCode,rule_violation,35235,3x23x,0,"Constraint Violation: The HospitalName of Row 196 is equal to the HospitalName of Row 213, and The ZipCode of Row 196 is different from the ZipCode of Row 213.","(196, 213)"
199,HospitalType,pattern_violation,acute care hospitals,acute care hosxitals,0,,
199,Condition,rule_violation,heart attack,heaxt attack,0,"Constraint Violation: The MeasureCode of Row 199 is equal to the MeasureCode of Row 359, and The Condition of Row 199 is different from the Condition of Row 359.","(199, 359)"
207,City,rule_violation,birmingham,birmixgham,0,"Constraint Violation: The HospitalName of Row 207 is equal to the HospitalName of Row 211, and The City of Row 207 is different from the City of Row 211.","(207, 211)"
208,Score,pattern_violation,95%,x5%,0,,
210,MeasureName,rule_violation,pneumonia patients assessed and given influenza vaccination,pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination,0,"Constraint Violation: The MeasureCode of Row 185 is equal to the MeasureCode of Row 210, and The MeasureName of Row 185 is different from the MeasureName of Row 210.","(185, 210)"
212,City,rule_violation,birmingham,bxrmxngham,0,"Constraint Violation: The HospitalName of Row 212 is equal to the HospitalName of Row 217, and The City of Row 212 is different from the City of Row 217.","(212, 217)"
213,ProviderNumber,rule_violation,10011,x00xx,0,"Constraint Violation: The HospitalName of Row 194 is equal to the HospitalName of Row 213, and The ProviderNumber of Row 194 is different from the ProviderNumber of Row 213.","(194, 213)"
213,HospitalType,pattern_violation,acute care hospitals,acutx carx hospitals,0,,
213,Stateavg,rule_violation,al_scip-inf-2,al_sxip-inf-2,0,"Constraint Violation: The MeasureCode of Row 213 is equal to the MeasureCode of Row 760, and The Stateavg of Row 213 is different from the Stateavg of Row 760.","(213, 760)"
216,CountyName,rule_violation,jefferson,jeffersxn,0,"Constraint Violation: The City of Row 216 is equal to the City of Row 672, and The CountyName of Row 216 is different from the CountyName of Row 672.","(216, 672)"
216,HospitalOwner,rule_violation,voluntary non-profit - private,volunxary non-profix - privaxe,0,"Constraint Violation: The HospitalName of Row 194 is equal to the HospitalName of Row 216, and The HospitalOwner of Row 194 is different from the HospitalOwner of Row 216.","(194, 216)"
217,PhoneNumber,rule_violation,2058383122,2058x8x122,0,"Constraint Violation: The HospitalName of Row 207 is equal to the HospitalName of Row 217, and The PhoneNumber of Row 207 is different from the PhoneNumber of Row 217.","(207, 217)"
218,HospitalOwner,rule_violation,voluntary non-profit - private,voluntary nonxprofit x private,0,"Constraint Violation: The HospitalName of Row 214 is equal to the HospitalName of Row 218, and The HospitalOwner of Row 214 is different from the HospitalOwner of Row 218.","(214, 218)"
219,MeasureName,rule_violation,heart attack patients given aspirin at arrival,heartxattackxpatientsxgivenxaspirinxatxarrival,0,"Constraint Violation: The MeasureCode of Row 44 is equal to the MeasureCode of Row 219, and The MeasureName of Row 44 is different from the MeasureName of Row 219.","(44, 219)"
221,CountyName,rule_violation,de kalb,dx kalb,0,"Constraint Violation: The City of Row 221 is equal to the City of Row 233, and The CountyName of Row 221 is different from the CountyName of Row 233.","(221, 233)"
221,HospitalOwner,rule_violation,voluntary non-profit - church,voluntaryxnon-profitx-xchurch,0,"Constraint Violation: The HospitalName of Row 221 is equal to the HospitalName of Row 241, and The HospitalOwner of Row 221 is different from the HospitalOwner of Row 241.","(221, 241)"
223,CountyName,rule_violation,de kalb,xe kalb,0,"Constraint Violation: The City of Row 223 is equal to the City of Row 226, and The CountyName of Row 223 is different from the CountyName of Row 226.","(223, 226)"
224,Sample,pattern_violation,1 patients,1 patiexts,0,,
225,Condition,rule_violation,heart attack,hexrt attxck,0,"Constraint Violation: The MeasureCode of Row 25 is equal to the MeasureCode of Row 225, and The Condition of Row 25 is different from the Condition of Row 225.","(25, 225)"
227,CountyName,rule_violation,de kalb,dx kalb,0,"Constraint Violation: The City of Row 227 is equal to the City of Row 243, and The CountyName of Row 227 is different from the CountyName of Row 243.","(227, 243)"
228,City,rule_violation,fort payne,fort payxe,0,"Constraint Violation: The HospitalName of Row 228 is equal to the HospitalName of Row 232, and The City of Row 228 is different from the City of Row 232.","(228, 232)"
228,State,pattern_violation,al,ax,0,,
228,PhoneNumber,rule_violation,2568453150,2568453x50,0,"Constraint Violation: The HospitalName of Row 221 is equal to the HospitalName of Row 228, and The PhoneNumber of Row 221 is different from the PhoneNumber of Row 228.","(221, 228)"
229,Condition,rule_violation,heart failure,heart faxlure,0,"Constraint Violation: The MeasureCode of Row 229 is equal to the MeasureCode of Row 323, and The Condition of Row 229 is different from the Condition of Row 323.","(229, 323)"
232,ZipCode,rule_violation,35968,359x8,0,"Constraint Violation: The HospitalName of Row 232 is equal to the HospitalName of Row 238, and The ZipCode of Row 232 is different from the ZipCode of Row 238.","(232, 238)"
234,Sample,pattern_violation,82 patients,82 patientx,0,,
236,Condition,rule_violation,surgical infection prevention,suxgical infection pxevention,0,"Constraint Violation: The MeasureCode of Row 236 is equal to the MeasureCode of Row 371, and The Condition of Row 236 is different from the Condition of Row 371.","(236, 371)"
237,Score,pattern_violation,97%,9x%,0,,
238,CountyName,rule_violation,de kalb,xe kalb,0,"Constraint Violation: The City of Row 238 is equal to the City of Row 242, and The CountyName of Row 238 is different from the CountyName of Row 242.","(238, 242)"
238,HospitalOwner,rule_violation,voluntary non-profit - church,voxuntary non-profit - church,0,"Constraint Violation: The HospitalName of Row 233 is equal to the HospitalName of Row 238, and The HospitalOwner of Row 233 is different from the HospitalOwner of Row 238.","(233, 238)"
238,Score,pattern_violation,99%,xx%,0,,
239,Condition,rule_violation,surgical infection prevention,surgxcal infectxon preventxon,0,"Constraint Violation: The MeasureCode of Row 189 is equal to the MeasureCode of Row 239, and The Condition of Row 189 is different from the Condition of Row 239.","(189, 239)"
243,HospitalName,rule_violation,dekalb regional medical center,dexalb regional medical center,0,"Constraint Violation: The ProviderNumber of Row 235 is equal to the ProviderNumber of Row 243, and The HospitalName of Row 235 is different from the HospitalName of Row 243.","(235, 243)"
244,ProviderNumber,rule_violation,10015,x00x5,0,"Constraint Violation: The HospitalName of Row 244 is equal to the HospitalName of Row 262, and The ProviderNumber of Row 244 is different from the ProviderNumber of Row 262.","(244, 262)"
244,Stateavg,rule_violation,al_ami-1,ax_ami-1,0,"Constraint Violation: The MeasureCode of Row 244 is equal to the MeasureCode of Row 313, and The Stateavg of Row 244 is different from the Stateavg of Row 313.","(244, 313)"
247,PhoneNumber,rule_violation,3346366221,xx46x66221,0,"Constraint Violation: The HospitalName of Row 247 is equal to the HospitalName of Row 252, and The PhoneNumber of Row 247 is different from the PhoneNumber of Row 252.","(247, 252)"
247,HospitalOwner,rule_violation,government - federal,governxent - federal,0,"Constraint Violation: The HospitalName of Row 247 is equal to the HospitalName of Row 256, and The HospitalOwner of Row 247 is different from the HospitalOwner of Row 256.","(247, 256)"
248,Stateavg,rule_violation,al_ami-5,xl_xmi-5,0,"Constraint Violation: The MeasureCode of Row 48 is equal to the MeasureCode of Row 248, and The Stateavg of Row 48 is different from the Stateavg of Row 248.","(48, 248)"
252,CountyName,rule_violation,clarke,xlarke,0,"Constraint Violation: The City of Row 252 is equal to the City of Row 262, and The CountyName of Row 252 is different from the CountyName of Row 262.","(252, 262)"
252,Score,pattern_violation,89%,89x,0,,
253,ProviderNumber,rule_violation,10015,1xx15,0,"Constraint Violation: The HospitalName of Row 253 is equal to the HospitalName of Row 254, and The ProviderNumber of Row 253 is different from the ProviderNumber of Row 254.","(253, 254)"
256,Condition,rule_violation,pneumonia,xneumonia,0,"Constraint Violation: The MeasureCode of Row 256 is equal to the MeasureCode of Row 889, and The Condition of Row 256 is different from the Condition of Row 889.","(256, 889)"
256,MeasureName,rule_violation,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,pneumonxa patxents whose inxtxal emergency room blood culture was performed prxor to the admxnxstratxon of the fxrst hospxtal dose of antxbxotxcs,0,"Constraint Violation: The MeasureCode of Row 256 is equal to the MeasureCode of Row 553, and The MeasureName of Row 256 is different from the MeasureName of Row 553.","(256, 553)"
256,Score,pattern_violation,96%,x6%,0,,
260,Address1,rule_violation,33700 highway 43,33700 hxghway 43,0,"Constraint Violation: The HospitalName of Row 247 is equal to the HospitalName of Row 260, and The Address1 of Row 247 is different from the Address1 of Row 260.","(247, 260)"
261,PhoneNumber,rule_violation,3346366221,334x3xx221,0,"Constraint Violation: The HospitalName of Row 258 is equal to the HospitalName of Row 261, and The PhoneNumber of Row 258 is different from the PhoneNumber of Row 261.","(258, 261)"
264,Address1,rule_violation,33700 highway 43,33700 highway x3,0,"Constraint Violation: The HospitalName of Row 260 is equal to the HospitalName of Row 264, and The Address1 of Row 260 is different from the Address1 of Row 264.","(260, 264)"
264,MeasureCode,rule_violation,scip-inf-3,scxp-xnf-3,0,"Constraint Violation: The MeasureName of Row 264 is equal to the MeasureName of Row 636, and The MeasureCode of Row 264 is different from the MeasureCode of Row 636.","(264, 636)"
266,HospitalType,pattern_violation,acute care hospitals,acuxe care hospixals,0,,
267,ZipCode,rule_violation,36784,x6784,0,"Constraint Violation: The HospitalName of Row 245 is equal to the HospitalName of Row 267, and The ZipCode of Row 245 is different from the ZipCode of Row 267.","(245, 267)"
269,Stateavg,rule_violation,al_ami-1,al_axi-1,0,"Constraint Violation: The MeasureCode of Row 169 is equal to the MeasureCode of Row 269, and The Stateavg of Row 169 is different from the Stateavg of Row 269.","(169, 269)"
273,ProviderNumber,rule_violation,10016,1xx16,0,"Constraint Violation: The HospitalName of Row 273 is equal to the HospitalName of Row 293, and The ProviderNumber of Row 273 is different from the ProviderNumber of Row 293.","(273, 293)"
275,Address1,rule_violation,1000 first street north,1000 fixst stxeet noxth,0,"Constraint Violation: The HospitalName of Row 275 is equal to the HospitalName of Row 293, and The Address1 of Row 275 is different from the Address1 of Row 293.","(275, 293)"
278,State,rule_violation,al,xl,0,"Constraint Violation: The HospitalName of Row 278 is equal to the HospitalName of Row 280, and The PhoneNumber of Row 278 is equal to the PhoneNumber of Row 280, and The HospitalOwner of Row 278 is equal to the HospitalOwner of Row 280, and The State of Row 278 is different from the State of Row 280.","(278, 280)"
