row_id,column,error_type,error_value,right_value,missing_value,constraint,tuple_pairs
845,title,pattern_violation,_on Flux,Æon Flux,0
4887,language,pattern_violation,en,English,0
4888,language,pattern_violation,en,English,0
4889,language,pattern_violation,en,English,0
4890,language,pattern_violation,en,English,0
4891,language,pattern_violation,en,English,0
4892,language,pattern_violation,en,English,0
4893,language,pattern_violation,en,English,0
4894,language,pattern_violation,en,English,0
4895,language,pattern_violation,en,English,0
4896,language,pattern_violation,en,English,0
4897,language,pattern_violation,en,English,0
4898,language,pattern_violation,en,English,0
4899,language,pattern_violation,en,English,0
4900,language,pattern_violation,en,English,0
4901,language,pattern_violation,en,English,0
4902,language,pattern_violation,en,English,0
4903,language,pattern_violation,en,English,0
4904,language,pattern_violation,en,English,0
4905,language,pattern_violation,en,English,0
4906,language,pattern_violation,en,English,0
4907,language,pattern_violation,en,English,0
4908,language,pattern_violation,en,English,0
4909,language,pattern_violation,en,English,0
4910,language,pattern_violation,en,English,0
4911,language,pattern_violation,en,English,0
4912,language,pattern_violation,en,English,0
4913,language,pattern_violation,en,English,0
4914,language,pattern_violation,en,English,0
4915,language,pattern_violation,en,English,0
4916,language,pattern_violation,en,English,0
4917,language,pattern_violation,en,English,0
4918,language,pattern_violation,en,English,0
4919,language,pattern_violation,en,English,0
4920,language,pattern_violation,en,English,0
4921,language,pattern_violation,en,English,0
4922,language,pattern_violation,en,English,0
4923,language,pattern_violation,en,English,0
4924,language,pattern_violation,en,English,0
4925,language,pattern_violation,en,English,0
4926,language,pattern_violation,en,English,0
4927,language,pattern_violation,en,English,0
4928,language,pattern_violation,en,English,0
4929,language,pattern_violation,en,English,0
4930,language,pattern_violation,en,English,0
4931,language,pattern_violation,en,English,0
4932,language,pattern_violation,en,English,0
4933,language,pattern_violation,en,English,0
4934,language,pattern_violation,en,English,0
4935,language,pattern_violation,en,English,0
4936,language,pattern_violation,en,English,0
4937,language,pattern_violation,en,English,0
4938,language,pattern_violation,en,English,0
4939,language,pattern_violation,en,English,0
4940,language,pattern_violation,en,English,0
4941,language,pattern_violation,en,English,0
4942,language,pattern_violation,en,English,0
4943,language,pattern_violation,en,English,0
4944,language,pattern_violation,en,English,0
4945,language,pattern_violation,en,English,0
4946,language,pattern_violation,en,English,0
4947,language,pattern_violation,en,English,0
4948,language,pattern_violation,en,English,0
4949,language,pattern_violation,en,English,0
4950,language,pattern_violation,en,English,0
4951,language,pattern_violation,en,English,0
4952,language,pattern_violation,en,English,0
4953,language,pattern_violation,en,English,0
4954,language,pattern_violation,en,English,0
4955,language,pattern_violation,en,English,0
4956,language,pattern_violation,en,English,0
4957,language,pattern_violation,en,English,0
4958,language,pattern_violation,en,English,0
4959,language,pattern_violation,en,English,0
4960,language,pattern_violation,en,English,0
4961,language,pattern_violation,en,English,0
4962,language,pattern_violation,en,English,0
4963,language,pattern_violation,en,English,0
4964,language,pattern_violation,en,English,0
4965,language,pattern_violation,en,English,0
4966,language,pattern_violation,en,English,0
4967,language,pattern_violation,en,English,0
4968,language,pattern_violation,en,English,0
4969,language,pattern_violation,en,English,0
4970,language,pattern_violation,en,English,0
4971,language,pattern_violation,en,English,0
4972,language,pattern_violation,en,English,0
4973,language,pattern_violation,en,English,0
4974,language,pattern_violation,en,English,0
4975,language,pattern_violation,en,English,0
4976,language,pattern_violation,en,English,0
4977,language,pattern_violation,en,English,0
4978,language,pattern_violation,en,English,0
4979,language,pattern_violation,en,English,0
4980,language,pattern_violation,en,English,0
4981,language,pattern_violation,en,English,0
4982,language,pattern_violation,en,English,0
4983,language,pattern_violation,en,English,0
4984,language,pattern_violation,en,English,0
4985,language,pattern_violation,en,English,0
4986,language,pattern_violation,en,English,0
4987,language,pattern_violation,en,English,0
4988,language,pattern_violation,en,English,0
4989,language,pattern_violation,en,English,0
4990,language,pattern_violation,en,English,0
4991,language,pattern_violation,en,English,0
4992,title,pattern_violation,Déj_ Vu,Déjà Vu,0
4992,language,pattern_violation,en,English,0
4993,language,pattern_violation,en,English,0
4994,language,pattern_violation,en,English,0
4995,language,pattern_violation,en,English,0
4996,language,pattern_violation,en,English,0
4997,language,pattern_violation,en,English,0
4998,language,pattern_violation,en,English,0
4999,language,pattern_violation,en,English,0
5000,language,pattern_violation,en,English,0
5001,language,pattern_violation,en,English,0
5002,language,pattern_violation,en,English,0
5003,language,pattern_violation,fr,French,0
5004,language,pattern_violation,en,English,0
5005,language,pattern_violation,en,English,0
5006,language,pattern_violation,en,English,0
5007,language,pattern_violation,en,English,0
5008,language,pattern_violation,en,English,0
5009,language,pattern_violation,en,English,0
5010,language,pattern_violation,en,English,0
5011,language,pattern_violation,en,English,0
5012,language,pattern_violation,en,English,0
5013,language,pattern_violation,en,English,0
5014,language,pattern_violation,en,English,0
5015,language,pattern_violation,en,English,0
5016,language,pattern_violation,en,English,0
5017,language,pattern_violation,en,English,0
5018,language,pattern_violation,en,English,0
5019,language,pattern_violation,en,English,0
5020,language,pattern_violation,en,English,0
5021,language,pattern_violation,es,Spanish,0
5022,language,pattern_violation,en,English,0
5023,language,pattern_violation,en,English,0
5024,language,pattern_violation,en,English,0
5025,language,pattern_violation,en,English,0
5026,language,pattern_violation,en,English,0
5027,language,pattern_violation,en,English,0
5028,language,pattern_violation,en,English,0
5029,language,pattern_violation,en,English,0
5030,language,pattern_violation,en,English,0
5031,language,pattern_violation,en,English,0
5032,language,pattern_violation,en,English,0
5033,language,pattern_violation,en,English,0
5034,language,pattern_violation,en,English,0
5035,language,pattern_violation,en,English,0
5036,language,pattern_violation,en,English,0
5037,language,pattern_violation,en,English,0
5038,language,pattern_violation,en,English,0
5039,language,pattern_violation,en,English,0
5040,language,pattern_violation,en,English,0
5041,language,pattern_violation,en,English,0
5042,language,pattern_violation,en,English,0
5043,language,pattern_violation,en,English,0
5044,language,pattern_violation,en,English,0
5045,language,pattern_violation,en,English,0
5046,language,pattern_violation,en,English,0
5047,language,pattern_violation,en,English,0
5048,language,pattern_violation,en,English,0
5049,language,pattern_violation,en,English,0
5050,language,pattern_violation,en,English,0
5051,language,pattern_violation,en,English,0
5052,language,pattern_violation,en,English,0
5053,language,pattern_violation,en,English,0
5054,language,pattern_violation,en,English,0
5055,language,pattern_violation,en,English,0
5056,language,pattern_violation,en,English,0
5057,language,pattern_violation,en,English,0
5058,language,pattern_violation,en,English,0
5059,language,pattern_violation,en,English,0
5060,language,pattern_violation,en,English,0
5061,language,pattern_violation,en,English,0
5062,language,pattern_violation,en,English,0
5063,language,pattern_violation,en,English,0
5064,language,pattern_violation,en,English,0
5065,language,pattern_violation,en,English,0
5066,language,pattern_violation,en,English,0
5067,language,pattern_violation,en,English,0
5068,language,pattern_violation,en,English,0
5069,language,pattern_violation,en,English,0
5070,language,pattern_violation,en,English,0
5071,language,pattern_violation,en,English,0
5072,language,pattern_violation,en,English,0
5073,language,pattern_violation,en,English,0
5074,language,pattern_violation,en,English,0
5075,language,pattern_violation,en,English,0
5076,language,pattern_violation,en,English,0
5077,language,pattern_violation,en,English,0
5078,language,pattern_violation,en,English,0
5079,language,pattern_violation,en,English,0
5080,language,pattern_violation,en,English,0
5081,language,pattern_violation,en,English,0
5082,language,pattern_violation,en,English,0
5083,language,pattern_violation,en,English,0
5084,language,pattern_violation,en,English,0
5085,language,pattern_violation,en,English,0
5086,language,pattern_violation,en,English,0
5087,language,pattern_violation,en,English,0
5088,language,pattern_violation,en,English,0
5089,language,pattern_violation,en,English,0
5090,language,pattern_violation,en,English,0
5091,language,pattern_violation,en,English,0
5092,language,pattern_violation,en,English,0
5093,language,pattern_violation,en,English,0
5094,language,pattern_violation,en,English,0
5095,language,pattern_violation,en,English,0
5096,language,pattern_violation,en,English,0
5097,language,pattern_violation,en,English,0
5098,language,pattern_violation,en,English,0
5099,language,pattern_violation,en,English,0
5100,language,pattern_violation,en,English,0
5101,language,pattern_violation,en,English,0
5102,language,pattern_violation,en,English,0
5103,language,pattern_violation,en,English,0
5104,language,pattern_violation,en,English,0
5105,language,pattern_violation,en,English,0
5106,language,pattern_violation,en,English,0
5107,language,pattern_violation,en,English,0
5108,language,pattern_violation,en,English,0
5109,language,pattern_violation,en,English,0
5110,language,pattern_violation,en,English,0
5111,language,pattern_violation,en,English,0
5112,language,pattern_violation,en,English,0
5113,language,pattern_violation,en,English,0
5114,language,pattern_violation,en,English,0
5115,language,pattern_violation,en,English,0
5116,language,pattern_violation,en,English,0
5117,language,pattern_violation,en,English,0
5118,language,pattern_violation,en,English,0
5119,language,pattern_violation,en,English,0
5120,language,pattern_violation,en,English,0
5121,language,pattern_violation,en,English,0
5122,language,pattern_violation,en,English,0
5123,language,pattern_violation,en,English,0
5124,language,pattern_violation,en,English,0
5125,language,pattern_violation,en,English,0
5126,language,pattern_violation,en,English,0
5127,language,pattern_violation,en,English,0
5128,language,pattern_violation,en,English,0
5129,language,pattern_violation,en,English,0
5130,language,pattern_violation,en,English,0
5131,language,pattern_violation,en,English,0
5132,language,pattern_violation,en,English,0
5133,language,pattern_violation,en,English,0
5134,language,pattern_violation,en,English,0
5135,language,pattern_violation,en,English,0
5136,language,pattern_violation,en,English,0
5137,language,pattern_violation,en,English,0
5138,language,pattern_violation,en,English,0
5139,language,pattern_violation,en,English,0
5140,language,pattern_violation,en,English,0
5141,language,pattern_violation,en,English,0
5142,language,pattern_violation,en,English,0
5143,language,pattern_violation,en,English,0
5144,language,pattern_violation,en,English,0
5145,language,pattern_violation,en,English,0
5146,language,pattern_violation,en,English,0
5147,language,pattern_violation,en,English,0
5148,language,pattern_violation,en,English,0
5149,language,pattern_violation,en,English,0
5150,language,pattern_violation,en,English,0
5151,language,pattern_violation,en,English,0
5152,language,pattern_violation,en,English,0
5153,language,pattern_violation,en,English,0
5154,language,pattern_violation,en,English,0
5155,language,pattern_violation,en,English,0
5156,language,pattern_violation,en,English,0
5157,language,pattern_violation,en,English,0
5158,language,pattern_violation,en,English,0
5159,language,pattern_violation,en,English,0
5160,language,pattern_violation,en,English,0
5161,language,pattern_violation,en,English,0
5162,language,pattern_violation,en,English,0
5163,language,pattern_violation,en,English,0
5164,language,pattern_violation,en,English,0
5165,language,pattern_violation,en,English,0
5166,language,pattern_violation,en,English,0
5167,language,pattern_violation,en,English,0
5168,language,pattern_violation,en,English,0
5169,language,pattern_violation,en,English,0
5170,language,pattern_violation,en,English,0
5171,language,pattern_violation,en,English,0
5172,language,pattern_violation,en,English,0
5173,language,pattern_violation,en,English,0
5174,language,pattern_violation,en,English,0
5175,language,pattern_violation,en,English,0
5176,language,pattern_violation,en,English,0
5177,language,pattern_violation,en,English,0
5178,language,pattern_violation,en,English,0
5179,language,pattern_violation,en,English,0
5180,language,pattern_violation,en,English,0
5181,language,pattern_violation,en,English,0
5182,language,pattern_violation,en,English,0
5183,language,pattern_violation,en,English,0
5184,language,pattern_violation,en,English,0
5185,language,pattern_violation,en,English,0
5186,language,pattern_violation,en,English,0
5187,language,pattern_violation,en,English,0
5188,language,pattern_violation,en,English,0
5189,language,pattern_violation,en,English,0
5190,language,pattern_violation,en,English,0
5191,language,pattern_violation,en,English,0
5192,language,pattern_violation,en,English,0
5193,language,pattern_violation,en,English,0
5194,language,pattern_violation,en,English,0
5195,language,pattern_violation,en,English,0
5196,language,pattern_violation,en,English,0
5197,language,pattern_violation,en,English,0
5198,language,pattern_violation,en,English,0
5199,language,pattern_violation,en,English,0
5200,language,pattern_violation,en,English,0
5201,language,pattern_violation,en,English,0
5202,language,pattern_violation,en,English,0
5203,language,pattern_violation,en,English,0
5204,language,pattern_violation,en,English,0
5205,language,pattern_violation,en,English,0
5206,language,pattern_violation,en,English,0
5207,language,pattern_violation,zh,Chinese,0
5208,language,pattern_violation,en,English,0
5209,language,pattern_violation,en,English,0
5210,language,pattern_violation,en,English,0
5211,language,pattern_violation,en,English,0
5212,language,pattern_violation,en,English,0
5213,language,pattern_violation,en,English,0
5214,language,pattern_violation,en,English,0
5215,language,pattern_violation,en,English,0
5216,language,pattern_violation,en,English,0
5217,language,pattern_violation,en,English,0
5218,language,pattern_violation,en,English,0
5219,language,pattern_violation,en,English,0
5220,language,pattern_violation,en,English,0
5221,language,pattern_violation,en,English,0
5222,language,pattern_violation,en,English,0
5223,language,pattern_violation,en,English,0
5224,language,pattern_violation,en,English,0
5225,language,pattern_violation,en,English,0
5226,language,pattern_violation,en,English,0
5227,language,pattern_violation,en,English,0
5228,language,pattern_violation,en,English,0
5229,language,pattern_violation,en,English,0
5230,language,pattern_violation,en,English,0
5231,language,pattern_violation,en,English,0
5232,language,pattern_violation,en,English,0
5233,language,pattern_violation,en,English,0
5234,language,pattern_violation,en,English,0
5235,language,pattern_violation,en,English,0
5236,language,pattern_violation,en,English,0
5237,language,pattern_violation,en,English,0
5238,language,pattern_violation,en,English,0
5239,language,pattern_violation,en,English,0
5240,language,pattern_violation,en,English,0
5241,language,pattern_violation,en,English,0
5242,language,pattern_violation,en,English,0
5243,language,pattern_violation,en,English,0
5244,language,pattern_violation,en,English,0
5245,language,pattern_violation,en,English,0
5246,language,pattern_violation,en,English,0
5247,language,pattern_violation,en,English,0
5248,language,pattern_violation,en,English,0
5249,language,pattern_violation,en,English,0
5250,language,pattern_violation,en,English,0
5251,language,pattern_violation,en,English,0
5252,language,pattern_violation,en,English,0
5253,language,pattern_violation,en,English,0
5254,language,pattern_violation,en,English,0
5255,language,pattern_violation,en,English,0
5256,language,pattern_violation,en,English,0
5257,language,pattern_violation,en,English,0
5258,language,pattern_violation,en,English,0
5259,language,pattern_violation,en,English,0
5260,language,pattern_violation,en,English,0
5261,language,pattern_violation,en,English,0
5262,language,pattern_violation,en,English,0
5263,language,pattern_violation,en,English,0
5264,language,pattern_violation,en,English,0
5265,language,pattern_violation,en,English,0
5266,language,pattern_violation,en,English,0
5267,language,pattern_violation,en,English,0
5268,language,pattern_violation,en,English,0
5269,language,pattern_violation,en,English,0
5270,language,pattern_violation,en,English,0
5271,language,pattern_violation,en,English,0
5272,language,pattern_violation,en,English,0
5273,language,pattern_violation,en,English,0
5274,language,pattern_violation,en,English,0
5275,language,pattern_violation,en,English,0
5276,language,pattern_violation,en,English,0
5277,language,pattern_violation,en,English,0
5278,language,pattern_violation,en,English,0
5279,language,pattern_violation,en,English,0
5280,language,pattern_violation,en,English,0
5281,language,pattern_violation,en,English,0
5282,language,pattern_violation,en,English,0
5283,language,pattern_violation,en,English,0
5284,language,pattern_violation,en,English,0
5285,language,pattern_violation,en,English,0
5286,language,pattern_violation,en,English,0
5287,language,pattern_violation,en,English,0
5288,language,pattern_violation,en,English,0
5289,language,pattern_violation,en,English,0
5290,language,pattern_violation,en,English,0
5291,language,pattern_violation,en,English,0
5292,language,pattern_violation,en,English,0
5293,language,pattern_violation,en,English,0
5294,language,pattern_violation,en,English,0
5295,language,pattern_violation,en,English,0
5296,language,pattern_violation,en,English,0
