row,title,genres,budget,language,duration,year,vote_count,score
69,Wild Wild West,1,170000000.0,English,106.0,1999.0,129601,4.8
70,The Mummy: Tomb of the Dragon Emperor,0,145000000.0,English,112.0,2008.0,117927,5.2
71,Suicide Squad,1,175000000.0,English,123.0,2016.0,118992,6.9
72,Evan Almighty,1,175000000.0,English,96.0,2007.0,115099,5.4
73,Edge of Tomorrow,0,178000000.0,English,113.0,2014.0,431620,7.9
74,Waterworld,0,175000000.0,English,176.0,1995.0,144337,6.1
75,G.I. Joe: The Rise of Cobra,0,175000000.0,English,118.0,2009.0,174578,5.8
76,Inside Out,1,175000000.0,English,95.0,2015.0,345198,8.3
77,The Jungle Book,0,175000000.0,English,106.0,2016.0,106072,7.8
78,Iron Man 2,0,200000000.0,English,124.0,2010.0,522371,7.0
79,Snow White and the Huntsman,0,170000000.0,English,132.0,2012.0,228554,6.1
80,Maleficent,0,180000000.0,English,97.0,2014.0,252257,7.0
81,Dawn of the Planet of the Apes,0,170000000.0,English,130.0,2014.0,317542,7.6
82,47 Ronin,0,175000000.0,English,128.0,2013.0,116994,6.3
83,Captain America: The Winter Soldier,0,170000000.0,English,136.0,2014.0,496749,7.8
84,Shrek Forever After,1,165000000.0,English,93.0,2010.0,138661,6.4
85,Tomorrowland,0,190000000.0,English,130.0,2015.0,128306,6.5
86,Big Hero 6,1,165000000.0,English,102.0,2014.0,279093,7.9
87,Wreck-It Ralph,1,165000000.0,English,101.0,2012.0,272534,7.8
88,The Polar Express,0,165000000.0,English,100.0,2004.0,120798,6.6
89,Independence Day: Resurgence,0,165000000.0,English,120.0,2016.0,58137,5.5
90,How to Train Your Dragon,0,165000000.0,English,98.0,2010.0,485430,8.2
91,Terminator 3: Rise of the Machines,0,200000000.0,English,109.0,2003.0,305340,6.4
92,Guardians of the Galaxy,0,170000000.0,English,121.0,2014.0,682155,8.1
93,Interstellar,0,165000000.0,English,169.0,2014.0,928227,8.6
94,Inception,0,160000000.0,English,148.0,2010.0,1468200,8.8
95,The Hobbit: An Unexpected Journey,0,180000000.0,English,182.0,2012.0,637246,7.9
96,The Fast and the Furious,0,38000000.0,English,106.0,2001.0,272223,6.7
97,The Curious Case of Benjamin Button,0,150000000.0,English,166.0,2008.0,459346,7.8
98,X-Men: First Class,0,160000000.0,English,132.0,2011.0,518537,7.8
99,The Hunger Games: Mockingjay - Part 2,0,160000000.0,English,137.0,2015.0,166137,6.6
100,The Sorcerer's Apprentice,0,150000000.0,English,109.0,2010.0,124185,6.1
101,Poseidon,0,160000000.0,English,98.0,2006.0,82380,5.6
102,Alice Through the Looking Glass,0,170000000.0,English,113.0,2016.0,21352,6.4
103,Shrek the Third,1,160000000.0,English,93.0,2007.0,211971,6.1
104,Warcraft,0,160000000.0,English,123.0,2016.0,111609,7.3
105,Terminator Genisys,0,155000000.0,English,126.0,2015.0,188457,6.6
106,The Chronicles of Narnia: The Voyage of the Dawn Treader,0,155000000.0,English,113.0,2010.0,106446,6.3
107,Pearl Harbor,0,140000000.0,English,184.0,2001.0,254111,6.1
108,Transformers,0,150000000.0,English,144.0,2007.0,513158,7.1
109,Alexander,0,155000000.0,English,206.0,2004.0,138863,5.5
110,Harry Potter and the Order of the Phoenix,0,150000000.0,English,138.0,2007.0,355137,7.5
111,Harry Potter and the Goblet of Fire,0,150000000.0,English,157.0,2005.0,385670,7.6
112,Hancock,0,150000000.0,English,102.0,2008.0,343648,6.4
113,I Am Legend,0,150000000.0,English,104.0,2007.0,530870,7.2
114,Charlie and the Chocolate Factory,1,150000000.0,English,115.0,2005.0,320284,6.7
115,Ratatouille,1,150000000.0,English,111.0,2007.0,473887,8.0
116,Batman Begins,0,150000000.0,English,128.0,2005.0,980946,8.3
117,Madagascar: Escape 2 Africa,1,150000000.0,English,89.0,2008.0,146019,6.7
118,Night at the Museum: Battle of the Smithsonian,1,150000000.0,English,105.0,2009.0,130272,5.9
119,X-Men Origins: Wolverine,0,150000000.0,English,119.0,2009.0,361924,6.7
120,The Matrix Revolutions,0,150000000.0,English,129.0,2003.0,364948,6.7
121,Frozen,1,150000000.0,English,102.0,2013.0,421658,7.6
122,The Matrix Reloaded,0,150000000.0,English,138.0,2003.0,421818,7.2
123,Thor: The Dark World,0,170000000.0,English,112.0,2013.0,414070,7.1
124,Mad Max: Fury Road,0,150000000.0,English,120.0,2015.0,552503,8.1
125,Angels & Demons,0,150000000.0,English,146.0,2009.0,207839,6.7
126,Thor,0,150000000.0,English,115.0,2011.0,536314,7.0
127,Bolt,1,150000000.0,English,96.0,2008.0,146766,6.9
128,G-Force,1,150000000.0,English,88.0,2009.0,33042,5.1
129,Wrath of the Titans,0,150000000.0,English,99.0,2012.0,152826,5.8
130,Dark Shadows,1,100000000.0,English,113.0,2012.0,199039,6.2
131,Mission: Impossible - Rogue Nation,0,150000000.0,English,131.0,2015.0,232187,7.4
132,The Wolfman,0,150000000.0,English,119.0,2010.0,89442,5.8
133,The Legend of Tarzan,0,180000000.0,English,110.0,2016.0,42372,6.6
134,Bee Movie,1,150000000.0,English,91.0,2007.0,105902,6.2
135,Kung Fu Panda 2,1,150000000.0,English,90.0,2011.0,182718,7.3
136,The Last Airbender,0,150000000.0,English,103.0,2010.0,118951,4.2
137,Mission: Impossible III,0,150000000.0,English,124.0,2006.0,256695,6.9
138,White House Down,0,150000000.0,English,131.0,2013.0,164238,6.4
139,Mars Needs Moms,1,150000000.0,English,88.0,2011.0,17590,5.4
140,Flushed Away,1,149000000.0,English,85.0,2006.0,85086,6.7
141,Pan,0,150000000.0,English,111.0,2015.0,39956,5.8
142,Mr. Peabody & Sherman,1,145000000.0,English,92.0,2014.0,47900,6.9
143,Troy,0,175000000.0,English,196.0,2004.0,381672,7.2
144,Madagascar 3: Europe's Most Wanted,1,145000000.0,English,93.0,2012.0,119213,6.9
145,Die Another Day,0,142000000.0,English,133.0,2002.0,169914,6.1
146,Ghostbusters,1,144000000.0,English,116.0,2016.0,69757,5.5
147,Armageddon,0,140000000.0,English,153.0,1998.0,322395,6.6
148,Men in Black II,1,140000000.0,English,88.0,2002.0,270207,6.1
149,Beowulf,0,150000000.0,English,115.0,2007.0,142440,6.3
150,Kung Fu Panda 3,1,145000000.0,English,95.0,2016.0,64322,7.2
151,Mission: Impossible - Ghost Protocol,0,145000000.0,English,133.0,2011.0,365104,7.4
152,Rise of the Guardians,0,145000000.0,English,97.0,2012.0,123553,7.3
153,Fun with Dick and Jane,1,100000000.0,English,90.0,2005.0,110788,6.1
154,The Last Samurai,0,140000000.0,English,154.0,2003.0,317166,7.7
155,Exodus: Gods and Kings,0,140000000.0,English,150.0,2014.0,128682,6.1
156,Star Trek,0,150000000.0,English,127.0,2009.0,504419,8.0
157,Spider-Man,0,139000000.0,English,121.0,2002.0,544665,7.3
158,How to Train Your Dragon 2,1,145000000.0,English,102.0,2014.0,221128,7.9
159,Gods of Egypt,0,140000000.0,English,126.0,2016.0,51892,5.5
160,Stealth,0,135000000.0,English,121.0,2005.0,45455,5.0
161,Watchmen,0,130000000.0,English,215.0,2009.0,392474,7.7
162,Lethal Weapon 4,0,140000000.0,English,127.0,1998.0,127497,6.6
163,Hulk,0,137000000.0,English,138.0,2003.0,212106,5.7
164,G.I. Joe: Retaliation,0,130000000.0,English,122.0,2013.0,146352,5.8
165,Sahara,1,130000000.0,English,124.0,2005.0,77673,6.0
166,Final Fantasy: The Spirits Within,0,137000000.0,English,106.0,2001.0,72259,6.4
167,Captain America: The First Avenger,0,140000000.0,English,124.0,2011.0,508818,6.9
168,The World Is Not Enough,0,135000000.0,English,128.0,1999.0,157519,6.4
169,Master and Commander: The Far Side of the World,0,150000000.0,English,138.0,2003.0,168207,7.4
170,The Twilight Saga: Breaking Dawn - Part 2,0,120000000.0,English,115.0,2012.0,185394,5.5
171,Happy Feet 2,1,135000000.0,English,100.0,2011.0,32399,5.9
172,The Incredible Hulk,0,150000000.0,English,135.0,2008.0,326286,6.8
173,The BFG,0,140000000.0,English,117.0,2016.0,12572,6.8
174,The Revenant,0,135000000.0,English,156.0,2015.0,406020,8.1
175,Turbo,1,135000000.0,English,96.0,2013.0,62424,6.5
176,Rango,1,135000000.0,English,107.0,2011.0,183208,7.2
177,Penguins of Madagascar,1,132000000.0,English,92.0,2014.0,60230,6.7
178,The Bourne Ultimatum,0,110000000.0,English,115.0,2007.0,491077,8.1
179,Kung Fu Panda,1,130000000.0,English,92.0,2008.0,307029,7.6
180,Ant-Man,1,130000000.0,English,117.0,2015.0,313866,7.4
181,The Hunger Games: Catching Fire,0,130000000.0,English,146.0,2013.0,498397,7.6
182,The Twilight Saga: Breaking Dawn - Part 2,0,120000000.0,English,115.0,2012.0,185394,5.5
183,Home,1,135000000.0,English,94.0,2015.0,70121,6.7
184,War of the Worlds,0,132000000.0,English,116.0,2005.0,334345,6.5
185,Bad Boys II,1,130000000.0,English,147.0,2003.0,178126,6.6
186,Puss in Boots,1,130000000.0,English,90.0,2011.0,114287,6.7
187,Salt,0,110000000.0,English,101.0,2010.0,245621,6.4
188,Noah,0,125000000.0,English,138.0,2014.0,200022,5.8
189,The Adventures of Tintin,0,135000000.0,English,107.0,2011.0,177383,7.4
190,Harry Potter and the Prisoner of Azkaban,0,130000000.0,English,142.0,2004.0,382255,7.8
191,Australia,0,130000000.0,English,165.0,2008.0,102338,6.6
192,After Earth,0,130000000.0,English,100.0,2013.0,158720,4.9
193,Dinosaur,0,127500000.0,English,82.0,2000.0,38438,6.5
194,Night at the Museum: Secret of the Tomb,1,127000000.0,English,98.0,2014.0,67223,6.2
195,Megamind,1,130000000.0,English,95.0,2010.0,172754,7.3
196,Harry Potter and the Sorcerer's Stone,0,125000000.0,English,159.0,2001.0,444683,7.5
197,R.I.P.D.,1,130000000.0,English,96.0,2013.0,91640,5.6
198,Pirates of the Caribbean: The Curse of the Black Pearl,0,140000000.0,English,143.0,2003.0,809474,8.1
199,The Hunger Games: Mockingjay - Part 1,0,125000000.0,English,123.0,2014.0,305008,6.7
200,The Da Vinci Code,0,125000000.0,English,174.0,2006.0,314253,6.6
201,Rio 2,1,103000000.0,English,101.0,2014.0,58498,6.4
202,X-Men 2,0,110000000.0,English,134.0,2003.0,405973,7.5
203,Fast Five,0,125000000.0,English,132.0,2011.0,284792,7.3
204,Sherlock Holmes: A Game of Shadows,0,125000000.0,English,129.0,2011.0,338635,7.5
205,Clash of the Titans,0,125000000.0,English,106.0,2010.0,229679,5.8
206,Total Recall,0,65000000.0,English,113.0,1990.0,240241,7.5
207,The 13th Warrior,0,85000000.0,English,102.0,1999.0,101411,6.6
208,The Bourne Legacy,0,125000000.0,English,135.0,2012.0,229823,6.7
209,Batman & Robin,0,125000000.0,English,125.0,1997.0,189855,3.7
210,How the Grinch Stole Christmas,1,123000000.0,English,110.0,2000.0,141414,6.0
211,The Day After Tomorrow,0,125000000.0,English,124.0,2004.0,333248,6.4
212,Mission: Impossible II,0,125000000.0,English,123.0,2000.0,242188,6.1
213,The Perfect Storm,0,140000000.0,English,130.0,2000.0,133076,6.4
214,Fantastic 4: Rise of the Silver Surfer,0,130000000.0,English,92.0,2007.0,213275,5.6
215,Life of Pi,0,120000000.0,English,127.0,2012.0,440084,8.0
216,Ghost Rider,0,110000000.0,English,123.0,2007.0,182661,5.2
217,Jason Bourne,0,120000000.0,English,123.0,2016.0,40123,7.1
218,Charlie's Angels: Full Throttle,1,120000000.0,English,107.0,2003.0,100821,4.8
219,Prometheus,0,130000000.0,English,124.0,2012.0,456260,7.0
220,Stuart Little 2,1,120000000.0,English,77.0,2002.0,36471,5.4
221,Elysium,0,115000000.0,English,109.0,2013.0,338087,6.6
222,The Chronicles of Riddick,0,105000000.0,English,134.0,2004.0,183909,6.7
223,RoboCop,0,100000000.0,English,117.0,2014.0,182899,6.2
224,Speed Racer,0,120000000.0,English,135.0,2008.0,57873,6.1
225,How Do You Know,1,120000000.0,English,121.0,2010.0,35066,5.3
226,Knight and Day,1,117000000.0,English,117.0,2010.0,148280,6.3
227,Oblivion,0,120000000.0,English,124.0,2013.0,387436,7.0
228,Star Wars: Episode III - Revenge of the Sith,0,113000000.0,English,140.0,2005.0,520104,7.6
229,Star Wars: Episode II - Attack of the Clones,0,115000000.0,English,142.0,2002.0,464310,6.7
230,"Monsters, Inc.",1,115000000.0,English,92.0,2001.0,585659,8.1
231,The Wolverine,0,120000000.0,English,138.0,2013.0,328067,6.7
232,Star Wars: Episode I - The Phantom Menace,0,115000000.0,English,136.0,1999.0,534658,6.5
233,The Croods,1,135000000.0,English,98.0,2013.0,150618,7.3
234,Asterix at the Olympic Games,1,78000000.0,French,116.0,2008.0,20567,5.1
235,Windtalkers,0,115000000.0,English,153.0,2002.0,55994,6.0
236,The Huntsman: Winter's War,0,115000000.0,English,120.0,2016.0,37750,6.1
237,Teenage Mutant Ninja Turtles,1,125000000.0,English,101.0,2014.0,167085,5.9
238,Gravity,0,100000000.0,English,91.0,2013.0,582917,7.8
239,Dante's Peak,0,116000000.0,English,108.0,1997.0,62271,5.8
240,Teenage Mutant Ninja Turtles: Out of the Shadows,1,135000000.0,English,112.0,2016.0,17533,6.3
241,Fantastic Four,0,120000000.0,English,100.0,2015.0,110486,4.3
242,Night at the Museum,1,110000000.0,English,108.0,2006.0,234480,6.4
243,San Andreas,0,110000000.0,English,114.0,2015.0,147497,6.1
244,Tomorrow Never Dies,0,110000000.0,English,119.0,1997.0,149680,6.5
245,The Patriot,0,110000000.0,English,142.0,2000.0,207613,7.1
246,Ocean's Twelve,0,110000000.0,English,125.0,2004.0,284852,6.4
247,Mr. & Mrs. Smith,1,120000000.0,English,126.0,2005.0,348861,6.5
248,Insurgent,0,110000000.0,English,119.0,2015.0,154621,6.3
249,The Aviator,0,110000000.0,English,170.0,2004.0,264318,7.5
250,Gulliver's Travels,1,112000000.0,English,85.0,2010.0,53160,4.9
251,The Green Hornet,1,120000000.0,English,119.0,2011.0,136019,5.8
252,300: Rise of an Empire,0,110000000.0,English,102.0,2014.0,225273,6.2
253,The Smurfs,1,110000000.0,English,103.0,2011.0,66593,5.5
254,Home on the Range,1,110000000.0,English,76.0,2004.0,13581,5.4
255,Allegiant,0,110000000.0,English,120.0,2016.0,44296,5.8
256,Real Steel,0,110000000.0,English,127.0,2011.0,254841,7.1
257,The Smurfs 2,1,105000000.0,English,105.0,2013.0,27257,5.4
258,Speed 2: Cruise Control,0,160000000.0,English,121.0,1997.0,60573,3.7
259,Ender's Game,0,110000000.0,English,114.0,2013.0,184561,6.7
260,Live Free or Die Hard,0,110000000.0,English,129.0,2007.0,336235,7.2
261,The Lord of the Rings: The Fellowship of the Ring,0,93000000.0,English,171.0,2001.0,1238746,8.8
262,Around the World in 80 Days,1,110000000.0,English,120.0,2004.0,68720,5.8
263,Ali,0,107000000.0,English,165.0,2001.0,79186,6.8
264,The Cat in the Hat,1,109000000.0,English,82.0,2003.0,36033,3.8
265,"I, Robot",0,120000000.0,English,115.0,2004.0,387632,7.1
266,Kingdom of Heaven,0,130000000.0,English,194.0,2005.0,217373,7.2
267,Stuart Little,1,133000000.0,English,84.0,1999.0,94172,5.9
268,The Princess and the Frog,0,105000000.0,English,97.0,2009.0,89351,7.1
269,The Martian,0,108000000.0,English,151.0,2015.0,472488,8.1
270,The Island,0,126000000.0,English,136.0,2005.0,263329,6.9
271,Town & Country,1,90000000.0,English,104.0,2001.0,4102,4.4
272,Gone in Sixty Seconds,0,90000000.0,English,127.0,2000.0,218341,6.5
273,Gladiator,0,103000000.0,English,171.0,2000.0,982637,8.5
274,Minority Report,0,102000000.0,English,145.0,2002.0,399651,7.7
275,Harry Potter and the Chamber of Secrets,0,100000000.0,English,174.0,2002.0,387616,7.4
276,Casino Royale,0,150000000.0,English,144.0,2006.0,470483,8.0
277,Planet of the Apes,0,100000000.0,English,119.0,2001.0,177725,5.7
278,Terminator 2: Judgment Day,0,102000000.0,English,153.0,1991.0,744891,8.5
279,Public Enemies,0,100000000.0,English,140.0,2009.0,230931,7.0
280,American Gangster,0,100000000.0,English,176.0,2007.0,324671,7.8
281,True Lies,1,115000000.0,English,141.0,1994.0,190439,7.2
282,The Taking of Pelham 1 2 3,0,100000000.0,English,106.0,2009.0,149998,6.4
283,Little Fockers,1,100000000.0,English,98.0,2010.0,85531,5.5
284,The Other Guys,1,100000000.0,English,116.0,2010.0,189806,6.7
285,Eraser,0,100000000.0,English,115.0,1996.0,84424,6.1
286,Django Unchained,0,100000000.0,English,165.0,2012.0,955174,8.5
287,The Hunchback of Notre Dame,0,100000000.0,English,91.0,1996.0,102933,6.9
288,The Emperor's New Groove,1,100000000.0,English,78.0,2000.0,128285,7.3
289,The Expendables 2,0,92000000.0,English,103.0,2012.0,246803,6.7
290,National Treasure,1,100000000.0,English,131.0,2004.0,255447,6.9
291,Eragon,0,100000000.0,English,104.0,2006.0,108076,5.1
292,Where the Wild Things Are,0,100000000.0,English,101.0,2009.0,87677,6.8
293,Pan,0,150000000.0,English,111.0,2015.0,39956,5.8
294,Epic,0,100000000.0,English,102.0,2013.0,85833,6.7
295,The Tourist,0,100000000.0,English,103.0,2010.0,176598,6.0
296,End of Days,0,83000000.0,English,121.0,1999.0,89509,5.7
297,Blood Diamond,0,100000000.0,English,143.0,2006.0,400292,8.0
298,The Wolf of Wall Street,1,100000000.0,English,240.0,2013.0,780588,8.2
299,Batman Forever,0,100000000.0,English,121.0,1995.0,190786,5.4
300,Starship Troopers,0,105000000.0,English,129.0,1997.0,221521,7.2
301,Cloud Atlas,0,102000000.0,English,172.0,2012.0,284825,7.5
302,Legend of the Guardians: The Owls of Ga'Hoole,0,80000000.0,English,101.0,2010.0,65785,7.0
303,Catwoman,0,100000000.0,English,87.0,2004.0,87451,3.3
304,Hercules,0,100000000.0,English,101.0,2014.0,115687,6.0
305,Treasure Planet,0,140000000.0,English,95.0,2002.0,71527,7.1
306,Land of the Lost,1,100000000.0,English,102.0,2009.0,52029,5.4
307,The Expendables 3,0,90000000.0,English,131.0,2014.0,127258,6.1
308,Point Break,0,105000000.0,English,114.0,2015.0,33953,5.3
309,Son of the Mask,1,84000000.0,English,94.0,2005.0,40751,2.2
310,In the Heart of the Sea,0,100000000.0,English,122.0,2015.0,71782,7.0
311,The Adventures of Pluto Nash,1,100000000.0,English,95.0,2002.0,20295,3.8
312,Green Zone,0,100000000.0,English,115.0,2010.0,110364,6.9
313,The Peanuts Movie,1,99000000.0,English,88.0,2015.0,27918,7.2
314,The Spanish Prisoner,0,10000000.0,English,110.0,1997.0,18697,7.3
315,The Mummy Returns,0,98000000.0,English,130.0,2001.0,248045,6.3
316,Gangs of New York,0,100000000.0,English,216.0,2002.0,314033,7.5
317,The Flowers of War,0,94000000.0,Mandarin,146.0,2011.0,38690,7.6
318,Surf's Up,1,100000000.0,English,85.0,2007.0,54077,6.8
319,The Stepford Wives,1,90000000.0,English,93.0,2004.0,49739,5.2
320,Black Hawk Down,0,92000000.0,English,152.0,2001.0,292022,7.7
321,The Campaign,1,95000000.0,English,85.0,2012.0,106790,6.2
322,The Fifth Element,0,93000000.0,English,126.0,1997.0,343274,7.7
323,Sex and the City 2,1,100000000.0,English,146.0,2010.0,59581,4.3
324,The Road to El Dorado,1,95000000.0,English,89.0,2000.0,58300,6.9
325,Ice Age: Continental Drift,1,95000000.0,English,88.0,2012.0,145321,6.6
326,Cinderella,0,95000000.0,English,105.0,2015.0,103737,7.0
327,The Lovely Bones,0,65000000.0,English,135.0,2009.0,125109,6.7
328,Finding Nemo,1,94000000.0,English,100.0,2003.0,692482,8.2
329,The Lord of the Rings: The Return of the King,0,94000000.0,English,192.0,2003.0,1215718,8.9
330,The Lord of the Rings: The Two Towers,0,94000000.0,English,172.0,2002.0,1100446,8.7
331,Seventh Son,0,95000000.0,English,102.0,2014.0,54501,5.5
332,Lara Croft: Tomb Raider,0,115000000.0,English,100.0,2001.0,157016,5.7
333,Transcendence,0,100000000.0,English,119.0,2014.0,172707,6.3
334,Jurassic Park III,0,93000000.0,English,92.0,2001.0,219501,5.9
335,Rise of the Planet of the Apes,0,93000000.0,English,105.0,2011.0,403836,7.6
336,The Spiderwick Chronicles,0,90000000.0,English,107.0,2008.0,68935,6.6
337,A Good Day to Die Hard,0,92000000.0,English,101.0,2013.0,165618,5.3
338,The Alamo,0,107000000.0,English,137.0,2004.0,16832,6.0
339,The Incredibles,0,92000000.0,English,115.0,2004.0,479166,8.0
340,Cutthroat Island,1,98000000.0,English,124.0,1995.0,21102,5.6
341,Percy Jackson & the Olympians: The Lightning Thief,0,95000000.0,English,118.0,2010.0,141179,5.9
342,Men in Black,1,90000000.0,English,98.0,1997.0,403014,7.3
343,Toy Story 2,1,90000000.0,English,82.0,1999.0,385871,7.9
344,Unstoppable,0,100000000.0,English,98.0,2010.0,149947,6.8
345,Rush Hour 2,1,90000000.0,English,90.0,2001.0,160440,6.6
346,What Lies Beneath,0,100000000.0,English,130.0,2000.0,98403,6.6
347,Cloudy with a Chance of Meatballs,1,100000000.0,English,90.0,2009.0,152601,7.0
348,Ice Age: Dawn of the Dinosaurs,1,90000000.0,English,94.0,2009.0,166791,7.0
349,The Secret Life of Walter Mitty,1,90000000.0,English,114.0,2013.0,236421,7.3
350,Charlie's Angels,1,92000000.0,English,94.0,2000.0,145350,5.5
351,The Departed,0,90000000.0,English,151.0,2006.0,873649,8.5
352,Mulan,0,90000000.0,English,88.0,1998.0,171792,7.5
353,Tropic Thunder,1,92000000.0,English,121.0,2008.0,307539,7.0
354,The Girl with the Dragon Tattoo,0,90000000.0,English,158.0,2011.0,330152,7.8
355,Die Hard with a Vengeance,0,90000000.0,English,128.0,1995.0,299258,7.6
356,Sherlock Holmes,0,90000000.0,English,128.0,2009.0,477300,7.6
357,Atlantis: The Lost Empire,0,120000000.0,English,95.0,2001.0,72591,6.8
358,Alvin and the Chipmunks: The Road Chip,1,90000000.0,English,92.0,2015.0,9418,5.0
359,Valkyrie,0,75000000.0,English,121.0,2008.0,183247,7.1
360,You Don't Mess with the Zohan,1,90000000.0,English,113.0,2008.0,156348,5.5
361,Pixels,1,88000000.0,English,106.0,2015.0,89770,5.6
362,A.I. Artificial Intelligence,0,100000000.0,English,146.0,2001.0,238747,7.1
363,The Haunted Mansion,1,90000000.0,English,88.0,2003.0,32049,4.9
364,Contact,0,90000000.0,English,150.0,1997.0,200556,7.4
365,Hollow Man,0,95000000.0,English,119.0,2000.0,101834,5.7
