row_id,column,error_type,error_value,right_value,missing_value,constraint,tuple_pairs
29,article_jcreated_at,rule_violation,2001/1/9,2001/9/1,0,"Constraint Violation: The jounral_abbreviation of Row 29 is different from the jounral_abbreviation of Row 903, and The article_language of Row 29 is equal to the article_language of Row 903, and The article_jcreated_at of Row 29 is equal to the article_jcreated_at of Row 903.","(29, 903)"
30,article_jcreated_at,pattern_violation,2012/1/8,2001/8/12,0,,
31,article_jcreated_at,pattern_violation,2009/1/7,2001/7/9,0,,
33,article_jissue,missing_value,,-1,1,,
34,article_jcreated_at,rule_violation,2002/1/15,1/15/02,0,"Constraint Violation: The jounral_abbreviation of Row 34 is different from the jounral_abbreviation of Row 930, and The article_language of Row 34 is equal to the article_language of Row 930, and The article_jcreated_at of Row 34 is equal to the article_jcreated_at of Row 930.","(34, 930)"
35,article_jcreated_at,rule_violation,2001/1/8,2001/8/1,0,"Constraint Violation: The id of Row 35 is greater than or equal to the id of Row 618, and The article_language of Row 35 is equal to the article_language of Row 618, and The article_jcreated_at of Row 35 is equal to the article_jcreated_at of Row 618.","(35, 618)"
36,article_jcreated_at,rule_violation,2001/1/14,1/14/01,0,"Constraint Violation: The id of Row 36 is greater than or equal to the id of Row 577, and The article_language of Row 36 is equal to the article_language of Row 577, and The article_jcreated_at of Row 36 is equal to the article_jcreated_at of Row 577.","(36, 577)"
37,article_jcreated_at,rule_violation,2002/1/9,2001/9/2,0,"Constraint Violation: The jounral_abbreviation of Row 37 is different from the jounral_abbreviation of Row 292, and The article_language of Row 37 is equal to the article_language of Row 292, and The article_jcreated_at of Row 37 is equal to the article_jcreated_at of Row 292.","(37, 292)"
37,author_list,pattern_violation,"{""R Loch Macdonald"",""Farbod Asgarzadie-Gadim"",""Yeon Gyoe Jang"",""Daniel J Curry"",""Rachel N Yanowitch"",""Kim E Schultheiss"",""Jocelyn Tolentino"",""J�_rgen L�_ders""}","{""R Loch Macdonald"",""Farbod Asgarzadie-Gadim"",""Yeon Gyoe Jang"",""Daniel J Curry"",""Rachel N Yanowitch"",""Kim E Schultheiss"",""Jocelyn Tolentino"",""J_rgen L_ders""}",0,,
39,article_jcreated_at,pattern_violation,2006/1/8,2001/8/6,0,,
41,article_jcreated_at,rule_violation,2010/1/14,1/14/10,0,"Constraint Violation: The jounral_abbreviation of Row 41 is different from the jounral_abbreviation of Row 974, and The article_language of Row 41 is equal to the article_language of Row 974, and The article_jcreated_at of Row 41 is equal to the article_jcreated_at of Row 974.","(41, 974)"
43,article_jcreated_at,rule_violation,2001/1/14,1/14/01,0,"Constraint Violation: The jounral_abbreviation of Row 43 is different from the jounral_abbreviation of Row 871, and The article_language of Row 43 is equal to the article_language of Row 871, and The article_jcreated_at of Row 43 is equal to the article_jcreated_at of Row 871.","(43, 871)"
44,article_jcreated_at,rule_violation,2001/1/10,2001/10/1,0,"Constraint Violation: The journal_issn of Row 44 is different from the journal_issn of Row 218, and The article_jcreated_at of Row 44 is equal to the article_jcreated_at of Row 218, and The jounral_abbreviation of Row 44 is equal to the jounral_abbreviation of Row 218.","(44, 218)"
45,article_pagination,pattern_violation,Sep-82,Sep-82,0,,
47,article_jissue,missing_value,,-1,1,,
47,article_jcreated_at,rule_violation,2001/1/13,1/13/01,0,"Constraint Violation: The journal_issn of Row 47 is different from the journal_issn of Row 682, and The article_jcreated_at of Row 47 is equal to the article_jcreated_at of Row 682, and The jounral_abbreviation of Row 47 is equal to the jounral_abbreviation of Row 682.","(47, 682)"
48,article_jcreated_at,rule_violation,2011/1/10,2001/10/11,0,"Constraint Violation: The id of Row 48 is greater than or equal to the id of Row 53, and The article_language of Row 48 is equal to the article_language of Row 53, and The article_jcreated_at of Row 48 is equal to the article_jcreated_at of Row 53.","(48, 53)"
49,article_jcreated_at,rule_violation,2001/1/10,2001/10/1,0,"Constraint Violation: The id of Row 49 is greater than or equal to the id of Row 868, and The article_language of Row 49 is equal to the article_language of Row 868, and The article_jcreated_at of Row 49 is equal to the article_jcreated_at of Row 868.","(49, 868)"
52,article_jcreated_at,pattern_violation,2011/1/12,2001/12/11,0,,
53,article_jcreated_at,rule_violation,2011/1/10,2001/10/11,0,"Constraint Violation: The jounral_abbreviation of Row 48 is different from the jounral_abbreviation of Row 53, and The article_language of Row 48 is equal to the article_language of Row 53, and The article_jcreated_at of Row 48 is equal to the article_jcreated_at of Row 53.","(48, 53)"
54,article_jcreated_at,rule_violation,2001/1/7,2001/7/1,0,"Constraint Violation: The article_language of Row 54 is different from the article_language of Row 431, and The article_jcreated_at of Row 54 is equal to the article_jcreated_at of Row 431, and The jounral_abbreviation of Row 54 is equal to the jounral_abbreviation of Row 431.","(54, 431)"
55,article_jissue,missing_value,,-1,1,,
55,article_jcreated_at,pattern_violation,2012/4/14,4/14/12,0,,
56,article_jcreated_at,pattern_violation,2009/1/6,2001/6/9,0,,
57,article_jcreated_at,rule_violation,2001/1/12,2001/12/1,0,"Constraint Violation: The article_language of Row 57 is different from the article_language of Row 906, and The article_jcreated_at of Row 57 is equal to the article_jcreated_at of Row 906, and The jounral_abbreviation of Row 57 is equal to the jounral_abbreviation of Row 906.","(57, 906)"
58,article_jcreated_at,pattern_violation,2010/1/10,2001/10/10,0,,
59,article_jcreated_at,rule_violation,2012/1/14,1/14/12,0,"Constraint Violation: The jounral_abbreviation of Row 59 is different from the jounral_abbreviation of Row 462, and The article_language of Row 59 is equal to the article_language of Row 462, and The article_jcreated_at of Row 59 is equal to the article_jcreated_at of Row 462.","(59, 462)"
59,article_pagination,pattern_violation,Jul-91,Jul-91,0,,
60,article_jcreated_at,rule_violation,2001/1/15,1/15/01,0,"Constraint Violation: The jounral_abbreviation of Row 60 is different from the jounral_abbreviation of Row 423, and The article_language of Row 60 is equal to the article_language of Row 423, and The article_jcreated_at of Row 60 is equal to the article_jcreated_at of Row 423.","(60, 423)"
61,article_jcreated_at,pattern_violation,2004/1/2,2001/2/4,0,,
62,article_jcreated_at,rule_violation,2001/1/11,2001/11/1,0,"Constraint Violation: The article_language of Row 62 is different from the article_language of Row 113, and The article_jcreated_at of Row 62 is equal to the article_jcreated_at of Row 113, and The jounral_abbreviation of Row 62 is equal to the jounral_abbreviation of Row 113.","(62, 113)"
63,article_jcreated_at,rule_violation,2001/1/5,2001/5/1,0,"Constraint Violation: The journal_issn of Row 63 is different from the journal_issn of Row 752, and The article_jcreated_at of Row 63 is equal to the article_jcreated_at of Row 752, and The jounral_abbreviation of Row 63 is equal to the jounral_abbreviation of Row 752.","(63, 752)"
64,article_jissue,missing_value,,-1,1,,
64,article_jcreated_at,rule_violation,2001/1/9,2001/9/1,0,"Constraint Violation: The journal_issn of Row 64 is different from the journal_issn of Row 551, and The article_jcreated_at of Row 64 is equal to the article_jcreated_at of Row 551, and The jounral_abbreviation of Row 64 is equal to the jounral_abbreviation of Row 551.","(64, 551)"
65,article_jissue,missing_value,,1,1,,
65,article_jcreated_at,rule_violation,2001/1/8,2001/8/1,0,"Constraint Violation: The jounral_abbreviation of Row 65 is different from the jounral_abbreviation of Row 435, and The article_language of Row 65 is equal to the article_language of Row 435, and The article_jcreated_at of Row 65 is equal to the article_jcreated_at of Row 435.","(65, 435)"
66,article_jcreated_at,rule_violation,2001/1/8,2001/8/1,0,"Constraint Violation: The journal_issn of Row 66 is different from the journal_issn of Row 85, and The article_jcreated_at of Row 66 is equal to the article_jcreated_at of Row 85, and The jounral_abbreviation of Row 66 is equal to the jounral_abbreviation of Row 85.","(66, 85)"
67,article_jcreated_at,rule_violation,2001/1/10,2001/10/1,0,"Constraint Violation: The id of Row 67 is greater than or equal to the id of Row 218, and The article_language of Row 67 is equal to the article_language of Row 218, and The article_jcreated_at of Row 67 is equal to the article_jcreated_at of Row 218.","(67, 218)"
67,author_list,pattern_violation,"{""M. Pujol"",""P. Barrag��n"",""J.M. Tiraboschi"",""A. Imaz"",""M.́. Dom�_nguez"",""D. Podzamczer""}","{""M. Pujol"",""P. Barragn"",""J.M. Tiraboschi"",""A. Imaz"",""M.. Dom_nguez"",""D. Podzamczer""}",0,,
68,article_jcreated_at,pattern_violation,2006/1/12,2001/12/6,0,,
69,author_list,pattern_violation,"{""O Ceki̤"",""C Batman""}","{""O Ceki_"",""C Batman""}",0,,
71,article_jcreated_at,rule_violation,2001/1/12,2001/12/1,0,"Constraint Violation: The jounral_abbreviation of Row 71 is different from the jounral_abbreviation of Row 377, and The article_language of Row 71 is equal to the article_language of Row 377, and The article_jcreated_at of Row 71 is equal to the article_jcreated_at of Row 377.","(71, 377)"
71,author_list,pattern_violation,"{""Cecilia Bj̦rkelund"",""Margaretha Jerlock""}","{""Cecilia Bj_rkelund"",""Margaretha Jerlock""}",0,,
73,article_jcreated_at,rule_violation,2001/1/15,1/15/01,0,"Constraint Violation: The id of Row 11 is greater than or equal to the id of Row 73, and The article_language of Row 11 is equal to the article_language of Row 73, and The article_jcreated_at of Row 11 is equal to the article_jcreated_at of Row 73.","(11, 73)"
74,article_jcreated_at,pattern_violation,2007/1/3,2001/3/7,0,,
75,article_jcreated_at,rule_violation,2001/1/13,1/13/01,0,"Constraint Violation: The jounral_abbreviation of Row 75 is different from the jounral_abbreviation of Row 654, and The article_language of Row 75 is equal to the article_language of Row 654, and The article_jcreated_at of Row 75 is equal to the article_jcreated_at of Row 654.","(75, 654)"
75,article_pagination,pattern_violation,8月17日,17-Aug,0,,
76,article_jcreated_at,rule_violation,2001/1/11,2001/11/1,0,"Constraint Violation: The journal_issn of Row 76 is different from the journal_issn of Row 113, and The article_jcreated_at of Row 76 is equal to the article_jcreated_at of Row 113, and The jounral_abbreviation of Row 76 is equal to the jounral_abbreviation of Row 113.","(76, 113)"
77,article_jcreated_at,rule_violation,2001/1/6,2001/6/1,0,"Constraint Violation: The journal_issn of Row 77 is different from the journal_issn of Row 203, and The article_jcreated_at of Row 77 is equal to the article_jcreated_at of Row 203, and The jounral_abbreviation of Row 77 is equal to the jounral_abbreviation of Row 203.","(77, 203)"
79,article_jcreated_at,rule_violation,2001/1/8,2001/8/1,0,"Constraint Violation: The journal_issn of Row 79 is different from the journal_issn of Row 892, and The article_jcreated_at of Row 79 is equal to the article_jcreated_at of Row 892, and The jounral_abbreviation of Row 79 is equal to the jounral_abbreviation of Row 892.","(79, 892)"
80,article_jcreated_at,rule_violation,2001/1/10,2001/10/1,0,"Constraint Violation: The id of Row 80 is greater than or equal to the id of Row 954, and The article_language of Row 80 is equal to the article_language of Row 954, and The article_jcreated_at of Row 80 is equal to the article_jcreated_at of Row 954.","(80, 954)"
81,article_jcreated_at,pattern_violation,2002/1/7,2001/7/2,0,,
82,article_jcreated_at,rule_violation,2001/1/5,2001/5/1,0,"Constraint Violation: The journal_issn of Row 82 is different from the journal_issn of Row 345, and The article_jcreated_at of Row 82 is equal to the article_jcreated_at of Row 345, and The jounral_abbreviation of Row 82 is equal to the jounral_abbreviation of Row 345.","(82, 345)"
83,article_jcreated_at,pattern_violation,2005/1/15,1/15/05,0,,
83,author_list,pattern_violation,"{""E Huguet"",""O Porta"",""E Mart�_nez"",""I Mora"",""M Sim�_"",""J Pubill"",""J A Ortega"",""M T Castillo""}","{""E Huguet"",""O Porta"",""E Mart_nez"",""I Mora"",""M Sim_"",""J Pubill"",""J A Ortega"",""M T Castillo""}",0,,
84,article_jcreated_at,pattern_violation,2001/1/14,1/14/01,0,,
85,journal_issn,rule_violation,9788480000000,9790000000000,0,"Constraint Violation: The jounral_abbreviation of Row 85 is equal to the jounral_abbreviation of Row 277, and The journal_issn of Row 85 is different from the journal_issn of Row 277.","(85, 277)"
85,article_jcreated_at,rule_violation,2001/1/8,2001/8/1,0,"Constraint Violation: The journal_issn of Row 85 is different from the journal_issn of Row 697, and The article_jcreated_at of Row 85 is equal to the article_jcreated_at of Row 697, and The jounral_abbreviation of Row 85 is equal to the jounral_abbreviation of Row 697.","(85, 697)"
85,author_list,pattern_violation,"{""Miquel S����nchez-Marr���"",""Geoff Holmes"",""Joaqu���_n Izquierdo"",""Joaquim Comas"",""Ioannis Athanasiadis"",""Karina Gibert""}","{""Miquel S_nchez-Marr"",""Geoff Holmes"",""Joaqu_n Izquierdo"",""Joaquim Comas"",""Ioannis Athanasiadis"",""Karina Gibert""}",0,,
86,article_jcreated_at,rule_violation,2012/1/6,2001/6/12,0,"Constraint Violation: The jounral_abbreviation of Row 2 is different from the jounral_abbreviation of Row 86, and The article_language of Row 2 is equal to the article_language of Row 86, and The article_jcreated_at of Row 2 is equal to the article_jcreated_at of Row 86.","(2, 86)"
87,article_jcreated_at,rule_violation,2001/1/12,2001/12/1,0,"Constraint Violation: The journal_issn of Row 87 is different from the journal_issn of Row 571, and The article_jcreated_at of Row 87 is equal to the article_jcreated_at of Row 571, and The jounral_abbreviation of Row 87 is equal to the jounral_abbreviation of Row 571.","(87, 571)"
89,article_jcreated_at,rule_violation,2001/1/8,2001/8/1,0,"Constraint Violation: The id of Row 89 is greater than or equal to the id of Row 826, and The article_language of Row 89 is equal to the article_language of Row 826, and The article_jcreated_at of Row 89 is equal to the article_jcreated_at of Row 826.","(89, 826)"
90,article_jcreated_at,rule_violation,2003/1/9,2001/9/3,0,"Constraint Violation: The jounral_abbreviation of Row 90 is different from the jounral_abbreviation of Row 347, and The article_language of Row 90 is equal to the article_language of Row 347, and The article_jcreated_at of Row 90 is equal to the article_jcreated_at of Row 347.","(90, 347)"
91,article_jcreated_at,rule_violation,2001/1/10,2001/10/1,0,"Constraint Violation: The journal_issn of Row 91 is different from the journal_issn of Row 684, and The article_jcreated_at of Row 91 is equal to the article_jcreated_at of Row 684, and The jounral_abbreviation of Row 91 is equal to the jounral_abbreviation of Row 684.","(91, 684)"
91,article_pagination,pattern_violation,Jul-93,Jul-93,0,,
93,article_jcreated_at,rule_violation,2001/1/11,2001/11/1,0,"Constraint Violation: The article_language of Row 93 is different from the article_language of Row 624, and The article_jcreated_at of Row 93 is equal to the article_jcreated_at of Row 624, and The jounral_abbreviation of Row 93 is equal to the jounral_abbreviation of Row 624.","(93, 624)"
94,article_jcreated_at,rule_violation,2001/1/13,1/13/01,0,"Constraint Violation: The id of Row 28 is greater than or equal to the id of Row 94, and The article_language of Row 28 is equal to the article_language of Row 94, and The article_jcreated_at of Row 28 is equal to the article_jcreated_at of Row 94.","(28, 94)"
95,article_jcreated_at,rule_violation,2001/1/7,2001/7/1,0,"Constraint Violation: The id of Row 95 is greater than or equal to the id of Row 240, and The article_language of Row 95 is equal to the article_language of Row 240, and The article_jcreated_at of Row 95 is equal to the article_jcreated_at of Row 240.","(95, 240)"
96,article_jcreated_at,rule_violation,2001/1/9,2001/9/1,0,"Constraint Violation: The id of Row 96 is greater than or equal to the id of Row 894, and The article_language of Row 96 is equal to the article_language of Row 894, and The article_jcreated_at of Row 96 is equal to the article_jcreated_at of Row 894.","(96, 894)"
96,author_list,pattern_violation,"{""N. Jakubik"",""L. Trzpil"",""F. Raciborski"",""U. Samolinska-Zawisza"",""L. Samoli̱ski"",""D. Paczesny"",""Z. Halat"",""J. Marszalkowska"",""B. Samolinski"",""P. Samel-Kowalik"",""A. Lusawa"",""J. Gutowska"",""A. Tomaszewska"",""A. Walkiewicz""}","{""N. Jakubik"",""L. Trzpil"",""F. Raciborski"",""U. Samolinska-Zawisza"",""L. Samoliski"",""D. Paczesny"",""Z. Halat"",""J. Marszalkowska"",""B. Samolinski"",""P. Samel-Kowalik"",""A. Lusawa"",""J. Gutowska"",""A. Tomaszewska"",""A. Walkiewicz""}",0,,
98,article_jcreated_at,pattern_violation,2009/1/2,2001/2/9,0,,
101,article_jcreated_at,rule_violation,2001/1/14,1/14/01,0,"Constraint Violation: The journal_issn of Row 101 is different from the journal_issn of Row 601, and The article_jcreated_at of Row 101 is equal to the article_jcreated_at of Row 601, and The jounral_abbreviation of Row 101 is equal to the jounral_abbreviation of Row 601.","(101, 601)"
101,author_list,pattern_violation,"{""M. Tercedor S��nchez"",""J.A. Prieto Velasco""}","{""M. Tercedor Snchez"",""J.A. Prieto Velasco""}",0,,
102,article_jcreated_at,rule_violation,2001/1/15,1/15/01,0,"Constraint Violation: The journal_issn of Row 102 is different from the journal_issn of Row 702, and The article_jcreated_at of Row 102 is equal to the article_jcreated_at of Row 702, and The jounral_abbreviation of Row 102 is equal to the jounral_abbreviation of Row 702.","(102, 702)"
103,article_jcreated_at,pattern_violation,2008/1/9,2001/9/8,0,,
104,article_jcreated_at,rule_violation,2004/1/14,1/14/04,0,"Constraint Violation: The jounral_abbreviation of Row 104 is different from the jounral_abbreviation of Row 515, and The article_language of Row 104 is equal to the article_language of Row 515, and The article_jcreated_at of Row 104 is equal to the article_jcreated_at of Row 515.","(104, 515)"
105,article_jcreated_at,pattern_violation,2003/1/6,2001/6/3,0,,
106,article_jcreated_at,rule_violation,2001/1/12,2001/12/1,0,"Constraint Violation: The id of Row 106 is greater than or equal to the id of Row 394, and The article_language of Row 106 is equal to the article_language of Row 394, and The article_jcreated_at of Row 106 is equal to the article_jcreated_at of Row 394.","(106, 394)"
107,article_jcreated_at,rule_violation,2001/1/12,2001/12/1,0,"Constraint Violation: The article_language of Row 107 is different from the article_language of Row 311, and The article_jcreated_at of Row 107 is equal to the article_jcreated_at of Row 311, and The jounral_abbreviation of Row 107 is equal to the jounral_abbreviation of Row 311.","(107, 311)"
108,article_jcreated_at,pattern_violation,2004/1/3,2001/3/4,0,,
109,article_jvolumn,missing_value,,-1,1,,
110,article_jcreated_at,rule_violation,2009/1/14,1/14/09,0,"Constraint Violation: The id of Row 110 is greater than or equal to the id of Row 282, and The article_language of Row 110 is equal to the article_language of Row 282, and The article_jcreated_at of Row 110 is equal to the article_jcreated_at of Row 282.","(110, 282)"
111,article_jcreated_at,rule_violation,2001/1/13,1/13/01,0,"Constraint Violation: The jounral_abbreviation of Row 111 is different from the jounral_abbreviation of Row 205, and The article_language of Row 111 is equal to the article_language of Row 205, and The article_jcreated_at of Row 111 is equal to the article_jcreated_at of Row 205.","(111, 205)"
112,article_jcreated_at,rule_violation,2001/1/7,2001/7/1,0,"Constraint Violation: The article_language of Row 112 is different from the article_language of Row 996, and The article_jcreated_at of Row 112 is equal to the article_jcreated_at of Row 996, and The jounral_abbreviation of Row 112 is equal to the jounral_abbreviation of Row 996.","(112, 996)"
113,article_jcreated_at,rule_violation,2001/1/11,2001/11/1,0,"Constraint Violation: The journal_issn of Row 113 is different from the journal_issn of Row 163, and The article_jcreated_at of Row 113 is equal to the article_jcreated_at of Row 163, and The jounral_abbreviation of Row 113 is equal to the jounral_abbreviation of Row 163.","(113, 163)"
114,article_jcreated_at,pattern_violation,2004/1/1,2001/1/4,0,,
117,article_jcreated_at,rule_violation,2001/1/10,2001/10/1,0,"Constraint Violation: The article_language of Row 91 is different from the article_language of Row 117, and The article_jcreated_at of Row 91 is equal to the article_jcreated_at of Row 117, and The jounral_abbreviation of Row 91 is equal to the jounral_abbreviation of Row 117.","(91, 117)"
118,article_title,pattern_violation,"Effet d'une intervention non m̩dicamenteuse, Voix d'Or�, sur les troubles du comportement dans la maladie d'Alzheimer ou une maladie apparent̩e. [Effect of a non-pharmacological intervention, Voix d'Or�, on behavior disturbances in Alzheimer disease and associated disorders.]","Effet d'une intervention non mdicamenteuse, Voix d'Or, sur les troubles du comportement dans la maladie d'Alzheimer ou une maladie apparente. [Effect of a non-pharmacological intervention, Voix d'Or, on behavior disturbances in Alzheimer disease and associated disorders.]",0,,
118,journal_title,rule_violation,G̩riatrie et Psychologie Neuropsychiatrie du Vieillissement,Griatrie et Psychologie Neuropsychiatrie du Vieillissement,0,"Constraint Violation: The jounral_abbreviation of Row 118 is equal to the jounral_abbreviation of Row 698, and The journal_title of Row 118 is different from the journal_title of Row 698.","(118, 698)"
118,author_list,pattern_violation,"{""G̩raldine Martin-Gaujard"",""Floriane Delphin-Combe"",""Isabelle Rouch"",""Solveig Relland"",""Pierre Krolak-Salmon""}","{""Graldine Martin-Gaujard"",""Floriane Delphin-Combe"",""Isabelle Rouch"",""Solveig Relland"",""Pierre Krolak-Salmon""}",0,,
120,journal_issn,rule_violation,22-Mar,22-Mar,0,"Constraint Violation: The jounral_abbreviation of Row 62 is equal to the jounral_abbreviation of Row 120, and The journal_issn of Row 62 is different from the journal_issn of Row 120.","(62, 120)"
121,article_jcreated_at,rule_violation,2002/1/12,2001/12/2,0,"Constraint Violation: The id of Row 121 is greater than or equal to the id of Row 241, and The article_language of Row 121 is equal to the article_language of Row 241, and The article_jcreated_at of Row 121 is equal to the article_jcreated_at of Row 241.","(121, 241)"
122,article_jissue,missing_value,,-1,1,,
122,article_jcreated_at,rule_violation,2001/1/13,1/13/01,0,"Constraint Violation: The article_language of Row 122 is different from the article_language of Row 681, and The article_jcreated_at of Row 122 is equal to the article_jcreated_at of Row 681, and The jounral_abbreviation of Row 122 is equal to the jounral_abbreviation of Row 681.","(122, 681)"
123,article_jcreated_at,rule_violation,2001/1/13,1/13/01,0,"Constraint Violation: The jounral_abbreviation of Row 123 is different from the jounral_abbreviation of Row 512, and The article_language of Row 123 is equal to the article_language of Row 512, and The article_jcreated_at of Row 123 is equal to the article_jcreated_at of Row 512.","(123, 512)"
123,article_pagination,pattern_violation,3-Aug,3-Aug,0,,
124,article_jcreated_at,rule_violation,2001/1/11,2001/11/1,0,"Constraint Violation: The id of Row 124 is greater than or equal to the id of Row 598, and The article_language of Row 124 is equal to the article_language of Row 598, and The article_jcreated_at of Row 124 is equal to the article_jcreated_at of Row 598.","(124, 598)"
125,article_jcreated_at,pattern_violation,2005/1/12,2001/12/5,0,,
125,author_list,pattern_violation,"{""V Cus�_"",""H Galvez"",""M Iriondo"",""J Campistol"",""I M��laga"",""A Garc�_a Cazorla""}","{""V Cus_"",""H Galvez"",""M Iriondo"",""J Campistol"",""I Mlaga"",""A Garc_a Cazorla""}",0,,
