row,name,streetAddress,city,state,zipCode,telephone,website,priceRange,categories,ratingValue,neighborhood
17,milk & honey,22 W 45th St,New York,NY,10036,(212) 764-4400,http://www.milknhoneykosher.com,0,Sushi Bars;Asian Restaurants;Caterers;Japanese Restaurants;Restaurants,5,Midtown Manhattan;Midtown East
18,mansion restaurant,1634 York Ave,New York,NY,10028,(212) 535-8888,http://www.themansionrestaurantnyc.com;http://mansionrestaurantnewyork.com;http://mansionrestaurant.com,0,Health Food Restaurants;Take Out Restaurants;Sandwich Shops;Family Style Restaurants;Greek Restaurants;Breakfast Brunch & Lunch Restaurants;Restaurants,3,Upper East Side;Yorkville;Upper Manhattan
19,son cubano,544 W 27th St,New York,NY,10001,(212) 366-1640,http://www.soncubanonyc.com/intro.html;http://www.soncubanonyc.com,1,Latin American Restaurants;American Restaurants;Caribbean Restaurants;Cuban Restaurants;Restaurants,5,Chelsea;Midtown Manhattan
20,via della pace inc,48 E 7th St,New York,NY,10003,(212) 253-5803,http://www.viadellapacenyc.com;http://viadellapace.com,1,Coffee & Espresso Restaurants;Take Out Restaurants;Coffee Shops;Italian Restaurants;Seafood Restaurants;Coffee & Tea;Restaurants,3.5,Downtown Manhattan;East Village
21,arata japanese restaurant inc,1047 2nd Ave,New York,NY,10022,(212) 371-8338,http://www.aratasushinyc.com;http://umisushinyc.com;http://kamisushinyc.com,0,Sushi Bars;Family Style Restaurants;Japanese Restaurants;Asian Restaurants;Thai Restaurants;Restaurants,2,Sutton Place;Midtown Manhattan;Midtown East
22,iron horse restaurant,32 Cliff St # 1,New York,NY,10038,(646) 546-5426,http://www.ironhorsenyc.com,0,Family Style Restaurants;Mexican Restaurants;Bars;Night Clubs;Restaurants,4,Downtown Manhattan;Financial District
23,ed's chowder house,44 W 63rd St,New York,NY,10023,(212) 956-1288,http://www.chinagrillmgt.com;http://www.chinagrillmgt.com/restaurants-and-bars/eds-chowder-house;http://empirehotelnyc.com,1,American Restaurants;Fine Dining Restaurants;Seafood Restaurants;Take Out Restaurants;Restaurants,2.5,Upper Manhattan;Lincoln Square;Upper West Side
24,excellent dumpling house,111 Lafayette St,New York,NY,10013,(212) 219-0212,http://www.excellentporkchophouse.com;http://excellentdumplinghouse.com,0,Chinese Restaurants;Asian Restaurants;Take Out Restaurants;Restaurants,4,Downtown Manhattan;Civic Center
25,lima's taste,122 Christopher St,New York,NY,10014,(646) 854-6770,http://www.limastaste.com,1,Take Out Restaurants;Caterers;Latin American Restaurants;Spanish Restaurants;Seafood Restaurants;Breakfast Brunch & Lunch Restaurants;Restaurant Delivery Service;Peruvian Restaurants;Restaurants,3.5,Downtown Manhattan;West Village
26,vince & eddies,70 W 68th St,New York,NY,10023,(212) 721-0068,http://www.vinceandeddiesnewyork.com,1,American Restaurants;Take Out Restaurants;Restaurants,4,Lincoln Square;Upper West Side;Upper Manhattan
27,golden unicorn restaurant inc,18 E Broadway,New York,NY,10002,(212) 941-0911,http://www.goldenunicornrestaurant.com,1,Family Style Restaurants;Take Out Restaurants;Chinese Restaurants;Breakfast Brunch & Lunch Restaurants;Caterers;Asian Restaurants;Restaurants,3.5,Downtown Manhattan;Two Bridges
28,masamoto sushi inc,88 W 3rd St,New York,NY,10012,(212) 777-8808,http://masamotosushi.com;http://masamotosushiny.com,1,Sushi Bars;Japanese Restaurants;Asian Restaurants;Take Out Restaurants;Restaurants,4.5,Downtown Manhattan;Greenwich Village
29,maria pia,319 W 51st St,New York,NY,10019,(212) 765-6463,http://www.mariapianyc.com;http://ordermariapia.com;http://mariapiazza.com;http://mariapia.com,1,Italian Restaurants;Mediterranean Restaurants;Take Out Restaurants;Fine Dining Restaurants;Seafood Restaurants;Restaurant Delivery Service;Pasta;Restaurants,4,Midtown Manhattan;Hell's Kitchen
30,nomad,78 2nd Ave,New York,NY,10003,(212) 253-5410,http://www.nomadny.com,1,Middle Eastern Restaurants;Sandwich Shops;Mediterranean Restaurants;Seafood Restaurants;Take Out Restaurants;Breakfast Brunch & Lunch Restaurants;Family Style Restaurants;Restaurants,4.5,Downtown Manhattan;Bowery
31,ko sushi,1619 York Ave Frnt 1,New York,NY,10028,(212) 772-8838,http://newkosushi.com;http://orderkosushi85.com,1,Sushi Bars;Japanese Restaurants;Asian Restaurants;Take Out Restaurants;Restaurants,5,Upper Manhattan;Upper East Side;Yorkville
32,i pizza ny,642 9th Ave,New York,NY,10036,(212) 245-6260,http://www.pizzaplusinc.com;http://www.pizzaplusnyc.com,0,Pizza;Italian Restaurants;American Restaurants;Sandwich Shops;Restaurants,5,Hell's Kitchen;Midtown Manhattan
33,fanelli's cafe,94 Prince St,New York,NY,10012,(212) 431-5744,http://fanellicafe.com;http://joeslists.net,0,Coffee Shops;Breakfast Brunch & Lunch Restaurants;Take Out Restaurants;Restaurants,3.5,SoHo;Downtown Manhattan
34,a salt & battery,112 Greenwich Ave,New York,NY,10011,(212) 691-2713,http://www.asaltandbattery.com,0,Seafood Restaurants;Take Out Restaurants;Bar & Grills;Breakfast Brunch & Lunch Restaurants;Grocers-Ethnic Foods;Restaurants,3,Downtown Manhattan;West Village
35,solo pizza,27 Avenue B,New York,NY,10009,(212) 420-7656,http://www.solopizzanyc.com,1,Pizza;Take Out Restaurants;Caterers;Sandwich Shops;Italian Restaurants;Restaurants,4,Downtown Manhattan;Alphabet City;East Village
36,vynl,102 8th Ave,New York,NY,10011,(212) 400-2118,http://www.vynl-nyc.com,1,American Restaurants;Restaurants,2,Chelsea;Midtown Manhattan
37,zucca trattoria,95 7th Ave S,New York,NY,10014,(212) 255-1980,http://www.bozmedia.com/zucca;http://www.zuccanyc.com;http://spzcap.com,1,Italian Restaurants;Mediterranean Restaurants;Take Out Restaurants;Caterers;Fine Dining Restaurants;Breakfast Brunch & Lunch Restaurants;Family Style Restaurants;Restaurants,4,Downtown Manhattan;West Village
38,bukhara grill,217 E 49th St,New York,NY,10017,(212) 888-2839,http://bukharany.com,1,Indian Restaurants;Bar & Grills;Caterers;Take Out Restaurants;Vegetarian Restaurants;Health Food Restaurants;Asian Restaurants;Middle Eastern Restaurants;Restaurants,5,Midtown East;Midtown Manhattan;Turtle Bay
39,rock center cafe,20 E 50th St,New York,NY,10022,(212) 332-7620,http://www.patinagroup.com;http://www.rockcentercafeny.com;http://www.patinagroup.com/restaurant.php?restaurants_id=18,1,American Restaurants;Restaurants;Caterers;Family Style Restaurants;Breakfast Brunch & Lunch Restaurants,3.5,Midtown East;Midtown Manhattan
40,sushi seki,1143 1st Ave,New York,NY,10065,(212) 371-0238,http://www.sushisekinyc.com;http://kanpai-ny.com,0,Sushi Bars;Japanese Restaurants;Asian Restaurants;Health Food Restaurants;Bar & Grills;Restaurants,4,Upper Manhattan;Upper East Side
41,marumi,546 Laguardia Pl,New York,NY,10012,(212) 979-7055,http://www.marumi.nyc;http://maruminyc.com,0,Japanese Restaurants;Sushi Bars;Bar & Grills;Take Out Restaurants;Asian Restaurants;Family Style Restaurants;Restaurants,4,Downtown Manhattan;Greenwich Village
42,excellent pork chop house,3 Doyers St Frnt 1,New York,NY,10013,(212) 791-7007,http://www.taiwanporkchophouse.com,0,Steak Houses;Chinese Restaurants;Asian Restaurants;Take Out Restaurants;Restaurants,4.5,Downtown Manhattan;Chinatown
43,tequila chitos,358 W 23rd St,New York,NY,10011,(212) 463-0535,http://www.tequilachitos.com,0,Mexican Restaurants;Bar & Grills;Latin American Restaurants;Take Out Restaurants;Caterers;Restaurants,2.5,Midtown Manhattan;Chelsea
44,periyali,35 W 20th St Frnt A,New York,NY,10011,(212) 463-7890,http://www.periyali.com;http://greekfoodmanhattannyc.com,1,Family Style Restaurants;Greek Restaurants;Mediterranean Restaurants;Take Out Restaurants;Caterers;Restaurants,3.5,Midtown Manhattan;Flatiron District
45,waterfront ale house,540 2nd Ave,New York,NY,10016,(212) 696-4104,http://www.waterfrontalehouse.com,1,American Restaurants;Bars;Bar & Grills;Chicken Restaurants;Sandwich Shops;Barbecue Restaurants;Hamburgers & Hot Dogs;Brew Pubs;Sports Bars;Take Out Restaurants;Night Clubs;Restaurants,4,Midtown Manhattan;Kips Bay
46,6th street kitchen,507 E 6th St,New York,NY,10009,(212) 477-4649,http://www.6thstreetkitchen.com,1,American Restaurants;Restaurants,4,Downtown Manhattan;Alphabet City;East Village
47,stone street tavern,52 Stone St,New York,NY,10004,(212) 785-5658,http://www.stonestreettavernnyc.com;http://www.stonestreettavernnyc.com/index.html,1,American Restaurants;Bars;Breakfast Brunch & Lunch Restaurants;Restaurants,3.5,Downtown Manhattan;Financial District
48,pig heaven,1540 2nd Ave,New York,NY,10028,(212) 744-4333,http://www.pigheaven.biz;http://www.pigheavennyc.com,1,Chinese Restaurants;Take Out Restaurants;Caterers;Seafood Restaurants;Restaurants,4,Upper East Side;Yorkville;Upper Manhattan
49,great new york noodletown,28 Bowery,New York,NY,10013,(212) 349-0923,http://www.greatnynoodletown.com;http://greatnynoodletown.com/menu,0,Chinese Restaurants;Asian Restaurants;Restaurants,4,Downtown Manhattan;Chinatown
50,flex mussels,174 E 82nd St # 1,New York,NY,10028,(212) 717-7772,http://www.flexmusselsny.com;http://www.flexmusselsny.com/82nd,1,Latin American Restaurants;Seafood Restaurants;Family Style Restaurants;Mexican Restaurants;Take Out Restaurants;Restaurants,4,Upper Manhattan;Upper East Side;Midtown
51,empire,193 Columbus Ave,New York,NY,10023,(212) 496-8778,http://www.empiretogo.com/welcome.tpl?from=top45;http://empiretogo.com,0,Chinese Restaurants;Asian Restaurants;Japanese Restaurants;Sushi Bars;Restaurants,2,Lincoln Square;Upper West Side;Upper Manhattan
52,asian fusion on stone,11 Stone St,New York,NY,10004,(219) 322-0501,http://www.asianfusiononstone.com;http://asiastone.webs.com,1,Asian Restaurants;Japanese Restaurants;Restaurants,5,Downtown Manhattan;Financial District
53,meson sevilla,344 W 46th St,New York,NY,10036,(212) 262-5890,http://mesonsevilla.com,1,Mexican Restaurants;Family Style Restaurants;Mediterranean Restaurants;Spanish Restaurants;Restaurants,4,Hell's Kitchen;Midtown Manhattan
54,mini thai cafe,105 Avenue A,New York,NY,10009,(212) 533-2928,http://www.minithaicafe.com,0,Thai Restaurants;Breakfast Brunch & Lunch Restaurants;Asian Restaurants;Take Out Restaurants;Restaurants,4.5,Downtown Manhattan;East Village
55,red bamboo,140 W 4th St Frnt A,New York,NY,10012,(212) 260-7049,http://www.redbamboo-nyc.com,0,Vegetarian Restaurants;Asian Restaurants;Take Out Restaurants;Seafood Restaurants;Caterers;Chinese Restaurants;Restaurants,4,Downtown Manhattan;Greenwich Village
56,jewel bako,239 E 5th St,New York,NY,10003,(212) 979-1012,http://jewelbakonyc.com,1,Japanese Restaurants;Asian Restaurants;Sushi Bars;Restaurants,3.5,Downtown Manhattan;East Village
57,empellon cocina,105 1st Ave,New York,NY,10003,(212) 780-0999,http://www.empellon.com/cocina;http://empellon.com,1,Mexican Restaurants;Latin American Restaurants;Restaurants,5,Downtown Manhattan;East Village
58,sushi sen-nin at 33,30 E 33rd St # A,New York,NY,10016,(212) 889-2208,http://www.sushisennin.com,0,Sushi Bars;Japanese Restaurants;Asian Restaurants;Restaurants,4,NoMad;Midtown Manhattan;Murray Hill
59,east pacific pan-asian bistro,120 E 34th St,New York,NY,10016,(212) 696-2818,http://34eastpacific.com;http://eastpacificnyc.com,0,Japanese Restaurants;Asian Restaurants;Caterers;Chinese Restaurants;Sushi Bars;Mongolian Restaurants;Thai Restaurants;Restaurants,2.5,Murray Hill;Midtown Manhattan
60,plum pizzeria & bar,157 2nd Ave,New York,NY,10003,(212) 375-9555,http://www.plumnyc.com;http://www.plumpizzerianyc.com,0,Pizza;Bars;Take Out Restaurants;Italian Restaurants;Family Style Restaurants;Caterers;Restaurants,5,Downtown Manhattan;East Village
61,fusia asian cuisine,677 Lexington Ave Frnt C,New York,NY,10022,(212) 308-2111,http://www.fusiaasiancuisine.com,1,Thai Restaurants;Take Out Restaurants;Caterers;Asian Restaurants;Japanese Restaurants;Chinese Restaurants;Vietnamese Restaurants;Breakfast Brunch & Lunch Restaurants;Restaurants,4,Midtown East;Midtown Manhattan
62,big wong king restaurant,67 Mott St # A,New York,NY,10013,(212) 964-0540,http://www.bigwongking.com;http://menupages.com/restaurants/big-wong-king,0,Chinese Restaurants;Family Style Restaurants;Take Out Restaurants;Asian Restaurants;Restaurants,4.5,Downtown Manhattan;Chinatown
63,cascina ristorante,647 9th Ave,New York,NY,10036,(212) 245-4422,http://www.cascina.com,1,Italian Restaurants;Pizza;Take Out Restaurants;Fine Dining Restaurants;Breakfast Brunch & Lunch Restaurants;Family Style Restaurants;Restaurant Delivery Service;Caterers;Mediterranean Restaurants;Restaurants,4,Hell's Kitchen;Midtown Manhattan;Midtown;Hell'S Kitchen
64,marisco centro,1490 Saint Nicholas Ave,New York,NY,10033,(212) 740-2000,http://www.mariscocentro.com,1,Seafood Restaurants;Fish & Seafood Markets;Take Out Restaurants;Latin American Restaurants;Caribbean Restaurants;Cuban Restaurants;Caterers;Family Style Restaurants;Restaurants,5,Fort George;Washington Heights;Upper Manhattan
65,duane park cafe,157 Duane St Frnt 1,New York,NY,10013,(212) 732-5555,http://www.duaneparknyc.com,1,Breakfast Brunch & Lunch Restaurants;American Restaurants;Bar & Grills;Cafeterias;Coffee Shops;Restaurants,4,Downtown Manhattan;Tribeca
66,little luzzo's,119 E 96th St,New York,NY,10128,(212) 369-2300,http://www.luzzospizza.com;http://homeimprovements.typepad.com,1,Pizza;Sandwich Shops;Italian Restaurants;Take Out Restaurants;Restaurants,4,Upper East Side;Upper Manhattan;Carnegie Hill
67,vintner cafe inc,671 9th Ave # A,New York,NY,10036,(212) 957-7500,http://www.ordervintnerwinemarketny.com;http://www.vintnerwinemarketny.com,0,American Restaurants;Bars;Taverns;Sandwich Shops;Coffee Shops;Beer & Ale;Breakfast Brunch & Lunch Restaurants;Restaurants,5,Hell's Kitchen;Midtown Manhattan
68,hong kong chinese restaurant,174 Lexington Ave Frnt 1,New York,NY,10016,(212) 689-1025,http://www.asianhongkong.com,0,Chinese Restaurants;Asian Restaurants;Take Out Restaurants;Restaurants,5,Midtown Manhattan;Rose Hill;Kips Bay
69,via dei mille,357 W Broadway,New York,NY,10013,(212) 431-0080,http://www.viadeimilleny.com,1,Italian Restaurants;Mediterranean Restaurants;Restaurants,4.5,Downtown Manhattan;SoHo
70,sticky's finger joint,31 W 8th St,New York,NY,10011,(212) 777-7131,http://www.stickysfingerjoint.com;http://stickysfingerjoint.happytables.com,0,American Restaurants;Take Out Restaurants;Caterers;Chicken Restaurants;Sandwich Shops;Health Food Restaurants;Restaurants,5,Downtown Manhattan;Greenwich Village
71,grace's trattoria,201 E 71st St,New York,NY,10021,(212) 452-2323,http://www.gracesmarketplace.com;http://www.gracestrattoria.net;http://gracestrattoria.com,1,Italian Restaurants;Bar & Grills;Breakfast Brunch & Lunch Restaurants;Pizza;Take Out Restaurants;Family Style Restaurants;Restaurant Delivery Service;Bakeries;Caterers;Mediterranean Restaurants;Restaurants,4.5,Upper Manhattan;Midtown;Upper East Side
72,bocca di bacco,828 9th Ave,New York,NY,10019,(212) 265-8828,http://www.boccadibacconyc.com,1,Italian Restaurants;Pasta;Take Out Restaurants;Caterers;Mediterranean Restaurants;Restaurants,3.5,Hell's Kitchen;Midtown Manhattan
73,flip,1000 3rd Ave,New York,NY,10022,(212) 705-2993,http://bloomingdales.com,1,American Restaurants;Hamburgers & Hot Dogs;Restaurants,3.5,Lenox Hill;Upper East Side;Upper Manhattan
74,thai palate,534 9th Ave,New York,NY,10018,(212) 279-9899,http://www.thairestaurantny.com,0,Thai Restaurants;Take Out Restaurants;Caterers;Asian Restaurants;Restaurants,5,Garment District;Midtown Manhattan
75,abboccato,136 W 55th St,New York,NY,10019,(212) 265-4000,http://www.abboccato.com,0,Italian Restaurants;Take Out Restaurants;Caterers;Fine Dining Restaurants;Breakfast Brunch & Lunch Restaurants;Mediterranean Restaurants;Restaurants,3.5,Theater District;Midtown Manhattan
76,mottsu,285 Mott St,New York,NY,10012,(212) 343-8017,http://www.mottsu.com,0,Japanese Restaurants;Caterers;Take Out Restaurants;Asian Restaurants;Sushi Bars;Restaurants,3.5,NoLita;Downtown Manhattan
77,outback steakhouse,60 W 23rd St,New York,NY,10010,(212) 989-3122,http://www.outbacksteakhouse.com,0,Barbecue Restaurants;Hamburgers & Hot Dogs;Steak Houses;Family Style Restaurants;Restaurants;Take Out Restaurants,3,Midtown Manhattan;NoMad
78,amber,381 3rd Ave,New York,NY,10016,(212) 686-6388,http://www.ambergroupnyc.com/amberkipsbay;http://ambergroupnyc.com,0,Sushi Bars;Japanese Restaurants;Health Food Restaurants;Asian Restaurants;Restaurants,4.5,Midtown Manhattan;Midtown;Rose Hill;Kips Bay
79,sasabune sushi,401 E 73rd St,New York,NY,10021,(212) 249-8583,http://sasabunenyc.com,0,Sushi Bars;Seafood Restaurants;Japanese Restaurants;Bar & Grills;Asian Restaurants;Restaurants,4.5,Upper Manhattan;Upper East Side
80,markt,676 Avenue Of The Americas,New York,NY,10010,(212) 727-3314,http://www.marktrestaurant.com,1,Breakfast Brunch & Lunch Restaurants;Caterers;Family Style Restaurants;Seafood Restaurants;Restaurants,3,Flatiron District;Midtown Manhattan;Midtown;Chelsea
81,restaurant nippon,155 E 52nd St,New York,NY,10022,(212) 758-0226,http://www.restaurantnippon.com;http://restaurantnippon.com/nippon/index.htm,1,Japanese Restaurants;Take Out Restaurants;Seafood Restaurants;Asian Restaurants;Family Style Restaurants;Restaurants,5,Midtown Manhattan;Turtle Bay;Midtown East
82,koi restaurant,40 W 40th St,New York,NY,10018,(212) 921-3330,http://www.koirestaurant.com,1,Japanese Restaurants;Bars;Asian Restaurants;Taverns;Restaurants,5,Garment District;Midtown Manhattan
83,the half pint,76 W 3rd St,New York,NY,10012,(212) 260-1088,http://www.thehalfpintnyc.com,1,American Restaurants;Bars;Taverns;Sandwich Shops;Hamburgers & Hot Dogs;Irish Restaurants;Night Clubs;Restaurants,4.5,Downtown Manhattan;Greenwich Village
84,cho cho san japanese restaurant,15 W 8th St,New York,NY,10011,(212) 473-3333,http://www.chochosanrestaurant.com;http://chochosanjapanese.com,1,Japanese Restaurants;Asian Restaurants;Take Out Restaurants;Family Style Restaurants;Sushi Bars;Restaurants,4.5,Downtown Manhattan;Greenwich Village
85,empire szechuan noodle house,4041 Broadway,New York,NY,10032,(212) 568-1600,http://www.empiretogo.com;http://www.empiretogo.com/welcome.tpl?from=top45;http://www.empiretogo.net,0,Sushi Bars;Asian Restaurants;Chinese Restaurants;Japanese Restaurants;Take Out Restaurants;Caterers;Thai Restaurants;Restaurants,3,Upper Manhattan;Washington Heights
86,momoya amsterdam,427 Amsterdam Ave,New York,NY,10024,(212) 580-0007,http://www.momoyanyc.com;http://momoyanyc.com/upper_west.php;http://www.themomoya.com,1,Sushi Bars;Japanese Restaurants;Asian Restaurants;Take Out Restaurants;Caterers;Restaurants,4,Upper Manhattan;Upper West Side
87,ritz diner,1133 1st Ave,New York,NY,10065,(212) 319-4993,http://www.ritzdinernyc.com;http://www.ritzdinernyc.com/food-delivery-tw/ritz-diner-new-york-city.2018.r?querystringvalue=3uby5yzipbtyiylzxshydw==,0,American Restaurants;Sandwich Shops;Dessert Restaurants;Hamburgers & Hot Dogs;Health Food Restaurants;Coffee Shops;Take Out Restaurants;Greek Restaurants;Mediterranean Restaurants;Breakfast Brunch & Lunch Restaurants;Restaurants,4,Upper East Side;Upper Manhattan
88,moonstruck east restaurant,449 3rd Ave,New York,NY,10016,(212) 213-1100,http://delivery.com,1,American Restaurants;Sandwich Shops;Hamburgers & Hot Dogs;Seafood Restaurants;Ice Cream & Frozen Desserts;Greek Restaurants;Mediterranean Restaurants;Breakfast Brunch & Lunch Restaurants;Family Style Restaurants;Take Out Restaurants;Caterers;Restaurants,3,Midtown Manhattan;Rose Hill;Kips Bay
89,crispo,240 W 14th St,New York,NY,10011,(212) 229-1818,http://www.crisporestaurant.com,1,Mediterranean Restaurants;Italian Restaurants;Take Out Restaurants;Restaurants,3.5,Chelsea;Midtown Manhattan
90,bennie's thai cafe,88 Fulton St,New York,NY,10038,(212) 587-8930,http://www.benniesthaicafenyc.com,1,Thai Restaurants;Take Out Restaurants;Caterers;Asian Restaurants;Restaurants,3.5,Downtown Manhattan;Financial District
91,the pan-american,202 Mott St,New York,NY,10012,(212) 925-9225,http://www.thepanamnyc.com,1,Latin American Restaurants;Mediterranean Restaurants;Spanish Restaurants;American Restaurants;Mexican Restaurants;Restaurants,5,Downtown Manhattan;NoLita
92,nuela restaurant,43 W 24th St # 1,New York,NY,10010,(212) 929-1200,http://www.nuelany.com;http://www.rayminyc.com,1,Latin American Restaurants;Family Style Restaurants;Take Out Restaurants;Caterers;Bars;Peruvian Restaurants;Caribbean Restaurants;Cuban Restaurants;Restaurants,4,Midtown Manhattan;NoMad
93,pound & pence,55 Liberty St,New York,NY,10005,(212) 716-1140,http://www.poundandpence.com,1,American Restaurants;Sandwich Shops;Hamburgers & Hot Dogs;Bar & Grills;Take Out Restaurants;Caterers;Bars;Night Clubs;Irish Restaurants;Brew Pubs;Taverns;Restaurants,4.5,Downtown Manhattan;Financial District
94,brother jimmy's bbq,1485 2nd Ave,New York,NY,10075,(212) 288-0999,http://www.brotherjimmys.com,1,Barbecue Restaurants;American Restaurants;Take Out Restaurants;Caterers;Hamburgers & Hot Dogs;Breakfast Brunch & Lunch Restaurants;Family Style Restaurants;Restaurants,3.5,Upper East Side;Upper Manhattan
95,shark bar restaurant,307 Amsterdam Ave,New York,NY,10023,(212) 874-8500,http://sharkbar.com,1,Breakfast Brunch & Lunch Restaurants;Family Style Restaurants;Caterers;Restaurants,3.5,Upper Manhattan;Upper West Side
96,carmine's,2450 Broadway,New York,NY,10024,(212) 362-2200,http://carminesnyc.com/locations/upper-west-side-nyc,1,Take Out Restaurants;Seafood Restaurants;Restaurants;Italian Restaurants;Restaurant Delivery Service,4,Upper Manhattan;Upper West Side
97,greenwich village bistro,13 Carmine St,New York,NY,10014,(212) 206-9777,http://greenwichvillagebistro.us;http://montestrattorianyc.com;http://www.greenwichvillagebistro.com,1,American Restaurants;Bars;Breakfast Brunch & Lunch Restaurants;Take Out Restaurants;Seafood Restaurants;French Restaurants;Continental Restaurants;Italian Restaurants;Mediterranean Restaurants;Restaurants,4.5,Greenwich Village;West Village;Downtown Manhattan
98,bite,211 E 14th St,New York,NY,10003,(212) 677-3123,http://www.bitenyc.com,0,Mediterranean Restaurants;Take Out Restaurants;American Restaurants;Sandwich Shops;Bars;Vegetarian Restaurants;Breakfast Brunch & Lunch Restaurants;Bakeries;Caterers;Restaurants,4,Gramercy Park;Midtown Manhattan
99,moonstruck on madison,244 Madison Ave,New York,NY,10016,(212) 867-2545,http://moonstrucknyc.com,0,American Restaurants;Coffee Shops;Sandwich Shops;Hamburgers & Hot Dogs;Health Food Restaurants;Restaurants,2,Murray Hill;Midtown Manhattan
100,il gattopardo,33 W 54th St Frnt 1,New York,NY,10019,(212) 246-0412,http://www.ilgattopardonyc.com,1,Mediterranean Restaurants;Italian Restaurants;Caterers;Restaurants,4,Midtown East;Midtown Manhattan
